Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2800E+03 .7851E-01 .0000E+00 .5750E-21 .5750E-21 .0000E+00 .0000E+00 .3922E-21 .3922E-21 .0000E+00 .5750E-21 .1913E-22
.2805E+03 .1024E+00 .9809E-44 .1858E-19 .1858E-19 .2803E-44 .9809E-44 .1267E-19 .1267E-19 .9809E-44 .1858E-19 .6200E-21
.2810E+03 .1717E+00 .1794E-42 .9392E-19 .9392E-19 .6166E-43 .1794E-42 .6406E-19 .6406E-19 .1794E-42 .9392E-19 .3145E-20
.2815E+03 .2412E+00 .1843E-39 .3244E-18 .3244E-18 .6303E-40 .1843E-39 .2213E-18 .2213E-18 .1843E-39 .3244E-18 .1089E-19
.2820E+03 .2918E+00 .1135E-37 .8379E-18 .8379E-18 .3882E-38 .1135E-37 .5715E-18 .5715E-18 .1135E-37 .8379E-18 .2822E-19
.2825E+03 .3144E+00 .1729E-36 .2144E-17 .2144E-17 .5913E-37 .1729E-36 .1462E-17 .1462E-17 .1729E-36 .2144E-17 .7242E-19
.2830E+03 .3431E+00 .3504E-35 .6812E-17 .6812E-17 .1199E-35 .3504E-35 .4647E-17 .4647E-17 .3504E-35 .6812E-17 .2308E-18
.2835E+03 .3225E+00 .1414E-34 .1107E-16 .1107E-16 .4837E-35 .1414E-34 .7549E-17 .7549E-17 .1414E-34 .1107E-16 .3761E-18
.2840E+03 .3213E+00 .1410E-31 .1862E-15 .1862E-15 .4824E-32 .1410E-31 .1271E-15 .1271E-15 .1410E-31 .1862E-15 .6349E-17
.2845E+03 .2516E+00 .2385E-30 .5292E-15 .5292E-15 .8158E-31 .2385E-30 .3611E-15 .3611E-15 .2385E-30 .5292E-15 .1809E-16
.2850E+03 .1186E+00 .3248E-29 .8322E-15 .8322E-15 .1111E-29 .3248E-29 .5678E-15 .5678E-15 .3248E-29 .8322E-15 .2853E-16
.2855E+03 .1378E+00 .2006E-27 .4206E-14 .4206E-14 .6860E-28 .2006E-27 .2870E-14 .2870E-14 .2006E-27 .4206E-14 .1446E-15
.2860E+03 .3008E+00 .2123E-26 .1677E-13 .1677E-13 .7260E-27 .2123E-26 .1144E-13 .1144E-13 .2123E-26 .1677E-13 .5784E-15
.2865E+03 .3583E+00 .6934E-25 .7552E-13 .7552E-13 .2372E-25 .6934E-25 .5154E-13 .5154E-13 .6934E-25 .7552E-13 .2612E-14
.2870E+03 .3780E+00 .8282E-24 .2149E-12 .2149E-12 .2833E-24 .8282E-24 .1467E-12 .1467E-12 .8282E-24 .2149E-12 .7454E-14
.2875E+03 .3784E+00 .2032E-22 .8226E-12 .8226E-12 .6949E-23 .2032E-22 .5614E-12 .5614E-12 .2032E-22 .8226E-12 .2861E-13
.2880E+03 .2506E+00 .7552E-21 .2647E-11 .2647E-11 .2583E-21 .7552E-21 .1807E-11 .1807E-11 .7552E-21 .2647E-11 .9236E-13
.2885E+03 .3590E+00 .8971E-20 .8012E-11 .8012E-11 .3068E-20 .8971E-20 .5469E-11 .5469E-11 .8971E-20 .8012E-11 .2803E-12
.2890E+03 .4204E+00 .9502E-19 .2139E-10 .2139E-10 .3250E-19 .9502E-19 .1460E-10 .1460E-10 .9502E-19 .2139E-10 .7504E-12
.2895E+03 .4914E+00 .1235E-17 .6404E-10 .6404E-10 .4225E-18 .1235E-17 .4372E-10 .4372E-10 .1235E-17 .6404E-10 .2253E-11
.2900E+03 .6181E+00 .1128E-16 .1771E-09 .1771E-09 .3857E-17 .1128E-16 .1209E-09 .1209E-09 .1128E-16 .1771E-09 .6248E-11
.2905E+03 .6463E+00 .6116E-16 .3578E-09 .3578E-09 .2092E-16 .6116E-16 .2443E-09 .2443E-09 .6116E-16 .3578E-09 .1266E-10
.2910E+03 .6101E+00 .4232E-15 .7621E-09 .7621E-09 .1447E-15 .4232E-15 .5203E-09 .5204E-09 .4232E-15 .7621E-09 .2704E-10
.2915E+03 .6024E+00 .5362E-14 .2181E-08 .2181E-08 .1834E-14 .5362E-14 .1489E-08 .1489E-08 .5362E-14 .2181E-08 .7759E-10
.2920E+03 .5732E+00 .4055E-13 .4470E-08 .4470E-08 .1387E-13 .4055E-13 .3053E-08 .3053E-08 .4055E-13 .4470E-08 .1595E-09
.2925E+03 .4968E+00 .1110E-12 .6225E-08 .6225E-08 .3797E-13 .1110E-12 .4251E-08 .4251E-08 .1110E-12 .6225E-08 .2227E-09
.2930E+03 .5676E+00 .5644E-12 .1331E-07 .1331E-07 .1930E-12 .5644E-12 .9092E-08 .9093E-08 .5644E-12 .1331E-07 .4777E-09
.2935E+03 .5764E+00 .4402E-11 .3230E-07 .3230E-07 .1506E-11 .4402E-11 .2206E-07 .2206E-07 .4402E-11 .3230E-07 .1162E-08
.2940E+03 .5042E+00 .1504E-10 .5008E-07 .5009E-07 .5144E-11 .1504E-10 .3420E-07 .3422E-07 .1504E-10 .5008E-07 .1807E-08
