193.44,67.18,0.36,0.98,1.38
193.46,67.18,0.36,0.98,1.38
193.48,67.18,0.36,0.98,1.38
193.50,67.18,0.35,0.98,1.38
193.52,67.17,0.36,0.98,1.38
193.54,67.17,0.36,0.98,1.38
193.56,67.17,0.36,0.98,1.38
193.58,67.17,0.36,0.98,1.37
193.60,67.17,0.36,0.98,1.37
193.62,67.17,0.36,0.98,1.38
193.64,67.17,0.36,0.98,1.37
193.65,67.16,0.36,0.98,1.38
193.67,67.16,0.36,0.98,1.38
193.69,67.16,0.36,0.98,1.38
193.71,67.16,0.36,0.98,1.38
193.73,67.16,0.35,0.98,1.38
193.75,67.16,0.35,0.98,1.38
193.77,67.16,0.36,0.98,1.37
193.79,67.16,0.35,0.98,1.38
193.81,67.15,0.36,0.98,1.38
193.83,67.15,0.36,0.98,1.37
193.85,67.15,0.35,0.98,1.38
193.87,67.15,0.36,0.98,1.37
193.89,67.15,0.35,0.97,1.37
193.91,67.15,0.36,0.98,1.37
193.93,67.15,0.36,0.98,1.37
193.95,67.14,0.35,0.97,1.37
193.96,67.14,0.36,0.98,1.37
193.98,67.14,0.35,0.97,1.37
194.00,67.14,0.36,0.97,1.37
194.02,67.14,0.36,0.97,1.37
194.04,67.14,0.36,0.97,1.37
194.06,67.14,0.36,0.97,1.37
194.08,67.13,0.36,0.97,1.37
194.10,67.13,0.36,0.97,1.37
194.12,67.13,0.36,0.97,1.37
194.14,67.13,0.36,0.97,1.37
194.16,67.13,0.36,0.97,1.37
194.18,67.13,0.36,0.97,1.37
194.20,67.13,0.35,0.97,1.37
194.21,67.12,0.35,0.97,1.37
194.23,67.12,0.35,0.97,1.37
194.25,67.12,0.35,0.97,1.37
194.27,67.12,0.36,0.97,1.37
194.29,67.12,0.35,0.97,1.37
194.31,67.12,0.35,0.97,1.37
194.33,67.12,0.35,0.97,1.37
194.35,67.11,0.35,0.97,1.37
194.37,67.11,0.35,0.97,1.37
194.39,67.11,0.35,0.97,1.37
194.41,67.11,0.35,0.97,1.37
194.43,67.11,0.35,0.97,1.37
194.45,67.11,0.35,0.97,1.37
194.47,67.11,0.35,0.97,1.37
194.49,67.10,0.35,0.97,1.37
194.51,67.10,0.35,0.97,1.37
194.52,67.10,0.35,0.97,1.37
194.54,67.10,0.35,0.97,1.37
194.56,67.10,0.35,0.97,1.37
194.58,67.10,0.35,0.97,1.37
194.60,67.10,0.35,0.97,1.37
194.62,67.09,0.35,0.97,1.37
194.64,67.09,0.35,0.97,1.37
194.66,67.09,0.35,0.96,1.38
194.68,67.09,0.35,0.96,1.38
194.70,67.09,0.35,0.96,1.38
194.72,67.09,0.35,0.96,1.38
194.74,67.09,0.35,0.96,1.38
194.76,67.08,0.35,0.96,1.38
194.78,67.08,0.35,0.97,1.38
194.79,67.08,0.35,0.96,1.38
194.81,67.08,0.35,0.96,1.38
194.83,67.08,0.35,0.96,1.38
194.85,67.08,0.30,0.75,1.25
194.87,67.07,0.30,0.74,1.24
194.89,67.07,0.35,0.97,1.37
194.91,67.07,0.35,0.97,1.37
194.93,67.07,0.35,0.97,1.37
194.95,67.07,0.35,0.97,1.37
194.97,67.07,0.35,0.97,1.37
194.99,67.07,0.35,0.97,1.37
195.00,67.06,0.35,0.97,1.37
195.02,67.06,0.35,0.97,1.37
195.04,67.06,0.35,0.97,1.38
195.06,67.06,0.35,0.97,1.38
195.08,67.06,0.35,0.97,1.37
195.10,67.06,0.35,0.97,1.37
195.12,67.06,0.35,0.97,1.37
195.14,67.05,0.35,0.97,1.37
195.16,67.05,0.35,0.97,1.37
195.18,67.05,0.35,0.97,1.37
195.20,67.05,0.36,0.97,1.37
195.22,67.05,0.35,0.97,1.37
195.24,67.05,0.35,0.97,1.37
195.26,67.04,0.35,0.97,1.37
195.27,67.04,0.35,0.97,1.37
195.29,67.04,0.35,0.97,1.37
195.31,67.04,0.35,0.97,1.37
195.33,67.04,0.35,0.97,1.37
195.35,67.04,0.35,0.97,1.37
195.37,67.04,0.35,0.97,1.37
195.39,67.03,0.35,0.97,1.37
195.41,67.03,0.35,0.97,1.37
195.43,67.03,0.35,0.97,1.37
195.45,67.03,0.35,0.97,1.37
195.47,67.03,0.35,0.97,1.37
195.49,67.03,0.35,0.97,1.37
195.51,67.02,0.35,0.97,1.37
195.52,67.02,0.35,0.97,1.37
195.55,67.02,0.35,0.97,1.37
195.57,67.02,0.35,0.97,1.37
195.59,67.02,0.35,0.97,1.37
195.61,67.02,0.35,0.97,1.37
195.63,67.01,0.35,0.97,1.37
195.65,67.01,0.35,0.97,1.37
195.67,67.01,0.35,0.97,1.37
195.69,67.01,0.35,0.97,1.37
195.71,67.01,0.35,0.97,1.37
195.73,67.01,0.35,0.97,1.37
195.75,67.00,0.35,0.97,1.37
195.76,67.00,0.35,0.97,1.37
195.78,67.00,0.35,0.97,1.37
195.80,67.00,0.35,0.97,1.37
195.82,67.00,0.35,0.97,1.37
195.84,67.00,0.35,0.97,1.37
195.86,67.00,0.35,0.97,1.37
195.88,66.99,0.35,0.97,1.37
195.90,66.99,0.35,0.97,1.37
195.92,66.99,0.35,0.97,1.37
195.94,66.99,0.35,0.97,1.38
195.96,66.99,0.35,0.97,1.38
195.98,66.99,0.35,0.97,1.38
196.00,66.98,0.35,0.97,1.38
196.01,66.98,0.35,0.97,1.38
196.03,66.98,0.35,0.97,1.38
196.05,66.98,0.35,0.97,1.38
196.07,66.98,0.35,0.97,1.37
196.09,66.98,0.35,0.97,1.38
196.11,66.97,0.35,0.97,1.37
196.13,66.97,0.35,0.97,1.38
196.15,66.97,0.35,0.97,1.38
196.17,66.97,0.35,0.97,1.38
196.19,66.97,0.35,0.97,1.38
196.21,66.97,0.35,0.97,1.38
196.22,66.96,0.35,0.97,1.38
196.24,66.96,0.35,0.97,1.38
196.26,66.96,0.35,0.97,1.38
196.28,66.96,0.35,0.97,1.38
196.30,66.96,0.35,0.97,1.38
196.32,66.96,0.35,0.97,1.38
196.34,66.96,0.35,0.97,1.38
196.36,66.95,0.35,0.97,1.38
196.38,66.95,0.35,0.97,1.38
196.39,66.95,0.35,0.97,1.38
196.41,66.95,0.35,0.97,1.38
196.43,66.95,0.35,0.97,1.38
196.45,66.95,0.35,0.97,1.38
196.47,66.94,0.35,0.97,1.38
196.49,66.94,0.35,0.97,1.38
196.51,66.94,0.35,0.97,1.38
196.53,66.94,0.35,0.97,1.38
196.55,66.94,0.35,0.97,1.38
196.56,66.94,0.35,0.97,1.38
196.58,66.93,0.35,0.97,1.38
196.60,66.93,0.35,0.97,1.38
196.62,66.93,0.35,0.97,1.38
196.64,66.93,0.35,0.97,1.38
196.66,66.93,0.35,0.97,1.38
196.68,66.93,0.35,0.96,1.37
196.70,66.92,0.35,0.96,1.37
196.72,66.92,0.35,0.96,1.37
196.74,66.92,0.35,0.96,1.37
196.76,66.92,0.35,0.96,1.38
196.77,66.92,0.35,0.96,1.37
196.79,66.92,0.35,0.96,1.37
196.81,66.91,0.35,0.96,1.37
196.83,66.91,0.35,0.96,1.37
196.85,66.91,0.35,0.96,1.37
196.87,66.91,0.35,0.96,1.37
196.89,66.91,0.35,0.96,1.37
196.91,66.91,0.35,0.96,1.37
196.93,66.90,0.35,0.96,1.37
196.95,66.90,0.35,0.96,1.37
196.96,66.90,0.35,0.96,1.37
196.98,66.90,0.35,0.96,1.37
197.00,66.90,0.35,0.96,1.37
197.02,66.90,0.35,0.96,1.37
197.04,66.89,0.35,0.96,1.37
197.06,66.89,0.35,0.96,1.38
197.08,66.89,0.35,0.96,1.38
197.10,66.89,0.35,0.96,1.38
197.12,66.89,0.35,0.96,1.37
197.14,66.89,0.35,0.96,1.38
197.16,66.88,0.35,0.97,1.38
197.17,66.88,0.35,0.96,1.37
197.19,66.88,0.35,0.96,1.38
197.21,66.88,0.35,0.96,1.38
197.23,66.88,0.35,0.96,1.37
197.25,66.87,0.35,0.96,1.38
197.27,66.87,0.35,0.96,1.37
197.29,66.87,0.35,0.96,1.37
197.31,66.87,0.35,0.96,1.37
197.32,66.87,0.35,0.96,1.37
197.34,66.87,0.35,0.96,1.37
197.36,66.86,0.35,0.96,1.37
197.38,66.86,0.35,0.96,1.37
197.40,66.86,0.35,0.96,1.37
197.42,66.86,0.35,0.96,1.37
197.44,66.86,0.35,0.96,1.38
197.46,66.86,0.35,0.96,1.37
197.48,66.85,0.35,0.96,1.37
197.50,66.85,0.35,0.96,1.37
197.51,66.85,0.35,0.96,1.37
197.53,66.85,0.35,0.95,1.37
197.55,66.85,0.35,0.95,1.37
197.57,66.85,0.35,0.95,1.37
197.59,66.84,0.35,0.95,1.37
197.61,66.84,0.35,0.95,1.37
197.64,66.84,0.35,0.95,1.37
197.66,66.84,0.35,0.95,1.37
197.68,66.84,0.35,0.95,1.36
197.69,66.83,0.35,0.95,1.36
197.71,66.83,0.35,0.95,1.36
197.73,66.83,0.35,0.95,1.36
197.75,66.83,0.35,0.95,1.36
197.77,66.83,0.35,0.95,1.36
197.79,66.82,0.35,0.95,1.36
197.81,66.82,0.35,0.95,1.36
197.83,66.82,0.35,0.95,1.36
197.85,66.82,0.35,0.95,1.36
197.86,66.82,0.35,0.95,1.36
197.88,66.82,0.35,0.95,1.36
197.90,66.81,0.35,0.95,1.36
197.92,66.81,0.35,0.95,1.36
197.94,66.81,0.35,0.95,1.36
197.96,66.81,0.35,0.95,1.36
197.98,66.81,0.35,0.95,1.36
197.99,66.81,0.35,0.95,1.36
198.01,66.80,0.35,0.95,1.36
