Az: 241.80  El: 54.92
1, V1: 0.23 V2: 0.11 R: 1.07
3, V1: 0.23 V2: 0.11 R: 1.07
5, V1: 0.23 V2: 0.11 R: 1.07
7, V1: 0.22 V2: 0.11 R: 1.05
9, V1: 0.22 V2: 0.11 R: 1.05
Az: 241.85  El: 54.90
11, V1: 0.22 V2: 0.11 R: 1.05
13, V1: 0.22 V2: 0.10 R: 1.10
15, V1: 0.22 V2: 0.10 R: 1.07
17, V1: 0.22 V2: 0.10 R: 1.10
19, V1: 0.22 V2: 0.11 R: 1.02
Az: 241.90  El: 54.87
21, V1: 0.22 V2: 0.10 R: 1.07
23, V1: 0.22 V2: 0.10 R: 1.05
25, V1: 0.22 V2: 0.11 R: 1.00
27, V1: 0.22 V2: 0.11 R: 1.00
29, V1: 0.22 V2: 0.10 R: 1.12
Az: 241.95  El: 54.85
31, V1: 0.22 V2: 0.10 R: 1.10
33, V1: 0.21 V2: 0.10 R: 1.02
35, V1: 0.21 V2: 0.10 R: 1.02
37, V1: 0.21 V2: 0.10 R: 1.02
39, V1: 0.21 V2: 0.10 R: 1.02
Az: 242.00  El: 54.82
41, V1: 0.21 V2: 0.10 R: 1.00
43, V1: 0.21 V2: 0.10 R: 1.08
45, V1: 0.21 V2: 0.10 R: 1.08
47, V1: 0.21 V2: 0.10 R: 1.05
49, V1: 0.21 V2: 0.10 R: 1.05
Az: 242.05  El: 54.79
51, V1: 0.21 V2: 0.10 R: 1.05
53, V1: 0.20 V2: 0.10 R: 1.03
55, V1: 0.20 V2: 0.09 R: 1.08
57, V1: 0.20 V2: 0.10 R: 1.03
59, V1: 0.20 V2: 0.09 R: 1.08
Az: 242.10  El: 54.77
61, V1: 0.20 V2: 0.09 R: 1.08
64, V1: 0.20 V2: 0.09 R: 1.08
66, V1: 0.20 V2: 0.09 R: 1.05
68, V1: 0.20 V2: 0.09 R: 1.05
70, V1: 0.20 V2: 0.09 R: 1.11
Az: 242.14  El: 54.74
72, V1: 0.20 V2: 0.09 R: 1.05
74, V1: 0.19 V2: 0.09 R: 1.03
76, V1: 0.19 V2: 0.09 R: 1.08
78, V1: 0.19 V2: 0.09 R: 1.00
80, V1: 0.19 V2: 0.09 R: 1.00
Az: 242.19  El: 54.72
82, V1: 0.19 V2: 0.09 R: 1.08
84, V1: 0.18 V2: 0.09 R: 1.03
86, V1: 0.19 V2: 0.09 R: 1.06
88, V1: 0.18 V2: 0.09 R: 1.03
90, V1: 0.18 V2: 0.09 R: 1.03
Az: 242.24  El: 54.69
92, V1: 0.18 V2: 0.08 R: 1.09
94, V1: 0.18 V2: 0.09 R: 1.03
96, V1: 0.18 V2: 0.09 R: 1.00
98, V1: 0.18 V2: 0.08 R: 1.06
100, V1: 0.17 V2: 0.09 R: 0.97
Az: 242.29  El: 54.67
102, V1: 0.18 V2: 0.08 R: 1.06
104, V1: 0.17 V2: 0.08 R: 1.03
106, V1: 0.17 V2: 0.08 R: 1.03
108, V1: 0.17 V2: 0.08 R: 1.03
110, V1: 0.17 V2: 0.08 R: 1.03
Az: 242.34  El: 54.64
112, V1: 0.17 V2: 0.08 R: 1.00
114, V1: 0.17 V2: 0.08 R: 1.09
116, V1: 0.17 V2: 0.08 R: 1.06
118, V1: 0.17 V2: 0.08 R: 1.06
120, V1: 0.17 V2: 0.08 R: 1.06
Az: 242.39  El: 54.61
122, V1: 0.16 V2: 0.08 R: 1.03
124, V1: 0.16 V2: 0.08 R: 1.03
126, V1: 0.16 V2: 0.08 R: 1.03
129, V1: 0.16 V2: 0.08 R: 1.03
131, V1: 0.16 V2: 0.08 R: 1.03
Az: 242.44  El: 54.59
133, V1: 0.16 V2: 0.07 R: 1.07
135, V1: 0.16 V2: 0.07 R: 1.07
137, V1: 0.15 V2: 0.08 R: 0.97
139, V1: 0.16 V2: 0.07 R: 1.07
Az: 242.49  El: 54.56
141, V1: 0.15 V2: 0.07 R: 1.03
143, V1: 0.15 V2: 0.07 R: 1.03
145, V1: 0.15 V2: 0.07 R: 1.00
147, V1: 0.15 V2: 0.07 R: 1.03
149, V1: 0.15 V2: 0.07 R: 1.00
Az: 242.54  El: 54.54
151, V1: 0.15 V2: 0.07 R: 1.00
153, V1: 0.15 V2: 0.07 R: 1.00
155, V1: 0.15 V2: 0.07 R: 1.00
157, V1: 0.15 V2: 0.07 R: 1.07
159, V1: 0.14 V2: 0.07 R: 1.04
Az: 242.59  El: 54.51
161, V1: 0.14 V2: 0.07 R: 1.04
163, V1: 0.14 V2: 0.07 R: 1.04
165, V1: 0.14 V2: 0.07 R: 1.00
167, V1: 0.14 V2: 0.07 R: 1.00
169, V1: 0.14 V2: 0.06 R: 1.08
Az: 242.63  El: 54.49
171, V1: 0.14 V2: 0.07 R: 1.00
173, V1: 0.14 V2: 0.06 R: 1.08
175, V1: 0.14 V2: 0.07 R: 1.00
177, V1: 0.14 V2: 0.06 R: 1.08
179, V1: 0.14 V2: 0.06 R: 1.08
Az: 242.68  El: 54.46
181, V1: 0.13 V2: 0.06 R: 1.04
183, V1: 0.13 V2: 0.06 R: 1.04
185, V1: 0.13 V2: 0.06 R: 1.04
187, V1: 0.13 V2: 0.06 R: 1.04
189, V1: 0.13 V2: 0.06 R: 1.00
Az: 242.73  El: 54.43
191, V1: 0.13 V2: 0.06 R: 1.00
193, V1: 0.13 V2: 0.06 R: 1.00
196, V1: 0.12 V2: 0.06 R: 1.04
198, V1: 0.13 V2: 0.06 R: 1.08
200, V1: 0.13 V2: 0.06 R: 1.08
Az: 242.78  El: 54.41
202, V1: 0.12 V2: 0.06 R: 1.04
204, V1: 0.12 V2: 0.06 R: 0.96
206, V1: 0.12 V2: 0.06 R: 1.04
208, V1: 0.12 V2: 0.06 R: 0.96
210, V1: 0.12 V2: 0.06 R: 1.04
Az: 242.83  El: 54.38
212, V1: 0.12 V2: 0.06 R: 1.04
214, V1: 0.12 V2: 0.06 R: 1.00
216, V1: 0.12 V2: 0.06 R: 1.00
218, V1: 0.12 V2: 0.06 R: 1.00
220, V1: 0.12 V2: 0.06 R: 1.00
Az: 242.88  El: 54.36
222, V1: 0.11 V2: 0.06 R: 0.96
224, V1: 0.11 V2: 0.05 R: 1.05
226, V1: 0.12 V2: 0.05 R: 1.09
228, V1: 0.11 V2: 0.05 R: 1.05
230, V1: 0.11 V2: 0.05 R: 1.05
Az: 242.92  El: 54.33
232, V1: 0.11 V2: 0.05 R: 1.05
234, V1: 0.11 V2: 0.05 R: 1.05
236, V1: 0.11 V2: 0.05 R: 1.05
238, V1: 0.11 V2: 0.05 R: 1.00
240, V1: 0.11 V2: 0.05 R: 1.05
Az: 242.97  El: 54.30
242, V1: 0.11 V2: 0.05 R: 1.10
244, V1: 0.11 V2: 0.05 R: 1.10
246, V1: 0.11 V2: 0.05 R: 1.00
248, V1: 0.10 V2: 0.05 R: 0.95
250, V1: 0.11 V2: 0.05 R: 1.00
Az: 243.02  El: 54.28
252, V1: 0.10 V2: 0.05 R: 0.95
254, V1: 0.10 V2: 0.05 R: 0.95
256, V1: 0.11 V2: 0.05 R: 1.10
258, V1: 0.10 V2: 0.05 R: 1.05
261, V1: 0.10 V2: 0.05 R: 1.05
Az: 243.07  El: 54.25
263, V1: 0.10 V2: 0.05 R: 1.05
265, V1: 0.10 V2: 0.05 R: 1.05
267, V1: 0.10 V2: 0.05 R: 1.05
269, V1: 0.10 V2: 0.05 R: 1.00
271, V1: 0.10 V2: 0.05 R: 1.00
Az: 243.12  El: 54.23
273, V1: 0.10 V2: 0.05 R: 1.00
275, V1: 0.10 V2: 0.05 R: 1.00
277, V1: 0.10 V2: 0.05 R: 1.00
279, V1: 0.10 V2: 0.05 R: 1.00
Az: 243.16  El: 54.20
281, V1: 0.10 V2: 0.04 R: 1.11
283, V1: 0.09 V2: 0.04 R: 1.06
285, V1: 0.10 V2: 0.05 R: 1.00
287, V1: 0.10 V2: 0.05 R: 1.00
289, V1: 0.09 V2: 0.05 R: 0.95
Az: 243.21  El: 54.18
291, V1: 0.09 V2: 0.04 R: 1.06
293, V1: 0.09 V2: 0.04 R: 1.00
295, V1: 0.10 V2: 0.04 R: 1.11
297, V1: 0.09 V2: 0.04 R: 1.06
299, V1: 0.09 V2: 0.04 R: 1.06
Az: 243.26  El: 54.15
301, V1: 0.09 V2: 0.04 R: 1.00
303, V1: 0.09 V2: 0.04 R: 1.06
305, V1: 0.09 V2: 0.04 R: 1.06
307, V1: 0.09 V2: 0.04 R: 1.00
309, V1: 0.09 V2: 0.04 R: 1.00
Az: 243.31  El: 54.12
311, V1: 0.09 V2: 0.04 R: 1.00
313, V1: 0.09 V2: 0.04 R: 1.00
315, V1: 0.09 V2: 0.04 R: 1.00
317, V1: 0.09 V2: 0.04 R: 1.00
319, V1: 0.08 V2: 0.04 R: 0.94
Az: 243.36  El: 54.10
321, V1: 0.09 V2: 0.04 R: 1.00
323, V1: 0.08 V2: 0.04 R: 0.94
325, V1: 0.09 V2: 0.04 R: 1.00
328, V1: 0.09 V2: 0.04 R: 1.00
330, V1: 0.08 V2: 0.04 R: 0.94
Az: 243.40  El: 54.07
332, V1: 0.08 V2: 0.04 R: 1.06
334, V1: 0.09 V2: 0.04 R: 1.00
336, V1: 0.09 V2: 0.04 R: 1.12
338, V1: 0.08 V2: 0.04 R: 1.00
340, V1: 0.08 V2: 0.04 R: 0.94
Az: 243.45  El: 54.05
342, V1: 0.08 V2: 0.04 R: 1.06
344, V1: 0.08 V2: 0.04 R: 0.94
346, V1: 0.08 V2: 0.04 R: 1.00
348, V1: 0.08 V2: 0.04 R: 1.06
350, V1: 0.08 V2: 0.04 R: 1.06
Az: 243.50  El: 54.02
352, V1: 0.08 V2: 0.04 R: 0.89
354, V1: 0.08 V2: 0.04 R: 1.00
356, V1: 0.08 V2: 0.04 R: 1.06
