0,0,0,0.28,0.44,0.80
1,0,0,0.28,0.46,0.82
2,0,0,0.28,0.47,0.84
3,0,0,0.28,0.48,0.86
4,0,0,0.28,0.48,0.86
5,0,0,0.28,0.48,0.86
6,0,0,0.28,0.48,0.87
7,0,0,0.28,0.49,0.87
8,0,0,0.28,0.49,0.87
9,249.45,50.53,0.28,0.49,0.88
10,0,0,0.28,0.49,0.87
11,0,0,0.28,0.49,0.87
12,0,0,0.28,0.49,0.87
13,0,0,0.28,0.49,0.87
14,0,0,0.28,0.48,0.87
15,0,0,0.28,0.48,0.86
16,0,0,0.28,0.48,0.86
17,0,0,0.28,0.47,0.85
18,0,0,0.28,0.47,0.85
19,249.49,50.50,0.28,0.47,0.85
20,0,0,0.28,0.47,0.85
21,0,0,0.28,0.47,0.84
22,0,0,0.28,0.47,0.84
23,0,0,0.28,0.47,0.84
24,0,0,0.28,0.46,0.84
25,0,0,0.28,0.46,0.84
26,0,0,0.28,0.46,0.84
27,0,0,0.28,0.46,0.84
28,0,0,0.28,0.46,0.83
29,249.53,50.47,0.28,0.46,0.83
30,0,0,0.28,0.46,0.83
31,0,0,0.28,0.46,0.83
32,0,0,0.28,0.46,0.82
33,0,0,0.28,0.45,0.82
34,0,0,0.28,0.45,0.82
35,0,0,0.28,0.45,0.82
36,0,0,0.28,0.45,0.82
37,0,0,0.28,0.45,0.82
38,0,0,0.28,0.45,0.82
39,249.58,50.44,0.28,0.45,0.82
40,0,0,0.28,0.45,0.82
41,0,0,0.28,0.45,0.82
42,0,0,0.28,0.45,0.82
43,0,0,0.28,0.45,0.82
44,0,0,0.28,0.45,0.82
45,0,0,0.28,0.45,0.81
46,0,0,0.28,0.45,0.81
47,0,0,0.28,0.45,0.82
48,0,0,0.28,0.45,0.82
49,249.62,50.42,0.28,0.45,0.82
50,0,0,0.28,0.45,0.82
51,0,0,0.28,0.45,0.82
52,0,0,0.28,0.46,0.82
53,0,0,0.28,0.46,0.82
54,0,0,0.28,0.46,0.82
55,0,0,0.28,0.45,0.82
56,0,0,0.28,0.45,0.82
57,0,0,0.28,0.45,0.82
58,0,0,0.28,0.45,0.82
59,249.66,50.39,0.28,0.45,0.81
60,0,0,0.28,0.45,0.81
61,0,0,0.28,0.44,0.81
62,0,0,0.28,0.44,0.81
63,0,0,0.28,0.44,0.80
64,0,0,0.28,0.44,0.80
65,0,0,0.28,0.44,0.80
66,0,0,0.28,0.44,0.79
67,0,0,0.28,0.44,0.80
68,0,0,0.28,0.44,0.79
69,249.70,50.36,0.27,0.43,0.79
70,0,0,0.28,0.43,0.79
71,0,0,0.27,0.43,0.79
72,0,0,0.27,0.43,0.78
73,0,0,0.28,0.43,0.78
74,0,0,0.27,0.43,0.78
75,0,0,0.28,0.43,0.78
76,0,0,0.27,0.43,0.78
77,0,0,0.27,0.43,0.78
78,0,0,0.28,0.43,0.78
79,249.74,50.34,0.28,0.43,0.77
80,0,0,0.28,0.43,0.77
81,0,0,0.28,0.43,0.77
82,0,0,0.27,0.42,0.77
83,0,0,0.27,0.42,0.77
84,0,0,0.27,0.42,0.77
85,0,0,0.28,0.42,0.76
