5,0.13,0.06,1.04,0.00,0.00,0.04
7,0.13,0.06,1.03,0.00,0.00,0.02
9,0.13,0.06,1.03,0.00,0.00,0.03
11,0.13,0.06,1.03,0.00,0.00,0.03
13,0.13,0.06,1.03,0.00,0.00,0.03
15,0.13,0.06,1.03,0.00,0.00,0.02
17,0.13,0.06,1.03,0.00,0.00,0.03
19,0.13,0.06,1.03,0.00,0.00,0.02
21,0.13,0.06,1.05,0.00,0.00,0.04
23,0.13,0.06,1.04,0.00,0.00,0.04
25,0.13,0.06,1.03,0.00,0.00,0.03
27,0.13,0.06,1.03,0.00,0.00,0.02
29,0.13,0.06,1.05,0.00,0.00,0.05
31,0.13,0.06,1.02,0.00,0.00,0.04
33,0.13,0.06,1.02,0.00,0.00,0.02
35,0.13,0.06,1.04,0.00,0.00,0.04
37,0.13,0.06,1.03,0.00,0.00,0.03
39,0.13,0.06,1.03,0.00,0.00,0.03
41,0.13,0.06,1.03,0.00,0.00,0.04
44,0.13,0.06,1.05,0.00,0.00,0.03
46,0.13,0.06,1.04,0.00,0.00,0.04
48,0.13,0.06,1.03,0.00,0.00,0.02
50,0.13,0.06,1.03,0.00,0.00,0.04
52,0.13,0.06,1.03,0.00,0.00,0.04
54,0.13,0.06,1.03,0.00,0.00,0.03
56,0.13,0.06,1.02,0.00,0.00,0.03
58,0.13,0.06,1.02,0.00,0.00,0.02
60,0.13,0.06,1.02,0.00,0.00,0.03
62,0.13,0.06,1.03,0.00,0.00,0.04
64,0.13,0.06,1.03,0.00,0.00,0.02
66,0.13,0.06,1.03,0.00,0.00,0.03
68,0.13,0.06,1.03,0.00,0.00,0.03
70,0.13,0.06,1.03,0.00,0.00,0.04
72,0.13,0.06,1.05,0.00,0.00,0.05
74,0.13,0.06,1.04,0.00,0.00,0.03
76,0.13,0.06,1.03,0.00,0.00,0.04
78,0.13,0.06,1.05,0.00,0.00,0.04
80,0.13,0.06,1.04,0.00,0.00,0.04
82,0.13,0.06,1.03,0.00,0.00,0.04
84,0.13,0.06,1.04,0.00,0.00,0.04
86,0.13,0.06,1.03,0.00,0.00,0.03
88,0.13,0.06,1.04,0.00,0.00,0.03
91,0.13,0.06,1.02,0.00,0.00,0.03
93,0.13,0.06,1.03,0.00,0.00,0.04
95,0.13,0.06,1.02,0.00,0.00,0.03
97,0.13,0.06,1.04,0.00,0.00,0.04
99,0.13,0.06,1.02,0.00,0.00,0.03
101,0.13,0.06,1.04,0.00,0.00,0.05
103,0.13,0.06,1.03,0.00,0.00,0.03
105,0.13,0.06,1.05,0.00,0.00,0.05
107,0.13,0.06,1.03,0.00,0.00,0.03
109,0.13,0.06,1.04,0.00,0.00,0.04
111,0.13,0.06,1.02,0.00,0.00,0.03
113,0.13,0.06,1.04,0.00,0.00,0.05
115,0.13,0.06,1.04,0.00,0.00,0.04
117,0.13,0.06,1.05,0.00,0.00,0.05
119,0.13,0.06,1.04,0.00,0.00,0.01
121,0.13,0.06,1.03,0.00,0.00,0.02
123,0.13,0.06,1.02,0.00,0.00,0.02
125,0.13,0.06,1.03,0.00,0.00,0.02
127,0.13,0.06,1.04,0.00,0.00,0.01
129,0.13,0.06,1.04,0.00,0.00,0.01
131,0.13,0.06,1.03,0.00,0.00,0.02
133,0.13,0.06,1.04,0.00,0.00,0.01
135,0.13,0.06,1.02,0.00,0.00,0.03
138,0.13,0.06,1.03,0.00,0.00,0.03
140,0.13,0.06,1.05,0.00,0.00,0.03
142,0.13,0.06,1.04,0.00,0.00,0.03
144,0.13,0.06,1.03,0.00,0.00,0.04
146,0.13,0.06,1.04,0.00,0.00,0.04
148,0.13,0.06,1.02,0.00,0.00,0.03
150,0.13,0.06,1.03,0.00,0.00,0.02
152,0.13,0.06,1.03,0.00,0.00,0.02
154,0.13,0.06,1.05,0.00,0.00,0.03
156,0.13,0.06,1.04,0.00,0.00,0.03
158,0.13,0.06,1.02,0.00,0.00,0.02
160,0.13,0.06,1.03,0.00,0.00,0.02
162,0.13,0.06,1.04,0.00,0.00,0.01
164,0.13,0.06,1.03,0.00,0.00,0.01
166,0.13,0.06,1.04,0.00,0.00,0.00
168,0.13,0.06,1.03,0.00,0.00,0.01
170,0.13,0.06,1.03,0.00,0.00,0.02
172,0.13,0.06,1.03,0.00,0.00,0.01
174,0.13,0.06,1.03,0.00,0.00,0.02
176,0.13,0.06,1.03,0.00,0.00,0.02
178,0.13,0.06,1.03,0.00,0.00,0.01
180,0.13,0.06,1.04,0.00,0.00,0.04
182,0.13,0.06,1.03,0.00,0.00,0.03
185,0.13,0.06,1.04,0.00,0.00,0.03
187,0.13,0.06,1.04,0.00,0.00,0.03
189,0.13,0.06,1.04,0.00,0.00,0.03
191,0.13,0.06,1.04,0.00,0.00,0.01
193,0.13,0.06,1.04,0.00,0.00,0.02
195,0.13,0.06,1.04,0.00,0.00,0.01
197,0.13,0.06,1.04,0.00,0.00,0.02
199,0.13,0.06,1.03,0.00,0.00,0.02
201,0.13,0.06,1.04,0.00,0.00,0.02
203,0.13,0.06,1.04,0.00,0.00,0.00
205,0.13,0.06,1.04,0.00,0.00,0.00
207,0.13,0.06,1.04,0.00,0.00,0.00
209,0.13,0.06,1.04,0.00,0.00,0.00
211,0.13,0.06,1.02,0.00,0.00,0.03
213,0.13,0.06,1.04,0.00,0.00,0.04
215,0.13,0.06,1.04,0.00,0.00,0.03
217,0.13,0.06,1.03,0.00,0.00,0.03
219,0.13,0.06,1.02,0.00,0.00,0.03
221,0.13,0.06,1.02,0.00,0.00,0.03
223,0.13,0.06,1.03,0.00,0.00,0.04
225,0.13,0.06,1.03,0.00,0.00,0.02
227,0.13,0.06,1.04,0.00,0.00,0.03
230,0.13,0.06,1.04,0.00,0.00,0.03
232,0.13,0.06,1.03,0.00,0.00,0.02
234,0.13,0.06,1.03,0.00,0.00,0.02
236,0.13,0.06,1.04,0.00,0.00,0.02
238,0.13,0.06,1.04,0.00,0.00,0.01
240,0.13,0.06,1.03,0.00,0.00,0.02
242,0.13,0.06,1.03,0.00,0.00,0.01
244,0.13,0.06,1.02,0.00,0.00,0.02
246,0.13,0.06,1.02,0.00,0.00,0.03
