x, y
312.25563987409777, 0
313.7593997901629, 1.7999955940242451
314.36090605114447, 6.899998369216775
315.26315970622807, 38.24999792575817
315.714280797381, 60.15000344753298
316.3157870583626, 72.75000121593487
316.46616075541357, 75.60000377655065
317.3684258832748, 78.45000347614322
318.27067953835837, 80.85000427722971
319.3233068904929, 82.80000617981015
321.1278256734377, 84.45000404834786
322.18045302557226, 84.90000580787715
323.0827066806558, 85.95000419139902
323.6842129416374, 83.70000397682227
324.285719202619, 74.55000253200556
324.586466596721, 65.85000284671811
325.03759916065155, 52.4999992847442
325.4887202518045, 38.54999909877769
325.78947911868414, 24.599993190764746
326.3909853796658, 9.599991760253133
326.69173277376774, 6.000000572204663
326.9924801678697, 3.8999980831144647
327.2932390347493, 1.9499933195107797
327.7443601259023, 1.199993247985202
328.6466252537635, 0.599990901946159
