Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2980E+03 .5581E+00 .1333E-02 .6678E-03 .1876E-02 .1208E-02 .1333E-02 .6394E-03 .1972E-02 .1333E-02 .6678E-03 .6017E-04
.2985E+03 .3790E+00 .1195E-02 .6235E-03 .1706E-02 .1083E-02 .1195E-02 .5969E-03 .1791E-02 .1195E-02 .6235E-03 .5500E-04
.2990E+03 .5771E+00 .2353E-02 .1277E-02 .3410E-02 .2133E-02 .2353E-02 .1223E-02 .3576E-02 .2353E-02 .1277E-02 .1105E-03
.2995E+03 .5217E+00 .3191E-02 .1861E-02 .4753E-02 .2892E-02 .3191E-02 .1781E-02 .4972E-02 .3191E-02 .1861E-02 .1550E-03
.3000E+03 .4169E+00 .3234E-02 .1962E-02 .4893E-02 .2931E-02 .3234E-02 .1878E-02 .5112E-02 .3234E-02 .1962E-02 .1603E-03
.3005E+03 .4394E+00 .4196E-02 .2639E-02 .6441E-02 .3802E-02 .4196E-02 .2525E-02 .6721E-02 .4196E-02 .2639E-02 .2148E-03
.3010E+03 .4942E+00 .6380E-02 .4262E-02 .1004E-01 .5782E-02 .6380E-02 .4078E-02 .1046E-01 .6380E-02 .4262E-02 .3413E-03
.3015E+03 .5298E+00 .8756E-02 .6151E-02 .1409E-01 .7935E-02 .8756E-02 .5886E-02 .1464E-01 .8756E-02 .6151E-02 .4874E-03
.3020E+03 .3745E+00 .6989E-02 .5011E-02 .1135E-01 .6335E-02 .6989E-02 .4795E-02 .1178E-01 .6989E-02 .5011E-02 .3990E-03
.3025E+03 .5441E+00 .1253E-01 .9017E-02 .2037E-01 .1136E-01 .1253E-01 .8628E-02 .2116E-01 .1253E-01 .9017E-02 .7181E-03
.3030E+03 .6771E+00 .2016E-01 .1422E-01 .3249E-01 .1827E-01 .2016E-01 .1361E-01 .3377E-01 .2016E-01 .1422E-01 .1146E-02
.3035E+03 .6891E+00 .2379E-01 .1652E-01 .3808E-01 .2156E-01 .2379E-01 .1581E-01 .3960E-01 .2379E-01 .1652E-01 .1345E-02
.3040E+03 .5775E+00 .2148E-01 .1478E-01 .3425E-01 .1947E-01 .2148E-01 .1415E-01 .3563E-01 .2148E-01 .1478E-01 .1211E-02
.3045E+03 .6485E+00 .2859E-01 .1967E-01 .4558E-01 .2591E-01 .2859E-01 .1882E-01 .4741E-01 .2859E-01 .1967E-01 .1613E-02
.3050E+03 .6733E+00 .3696E-01 .2556E-01 .5906E-01 .3350E-01 .3696E-01 .2446E-01 .6142E-01 .3696E-01 .2556E-01 .2092E-02
.3055E+03 .6128E+00 .3848E-01 .2662E-01 .6149E-01 .3487E-01 .3848E-01 .2547E-01 .6395E-01 .3848E-01 .2662E-01 .2179E-02
.3060E+03 .5426E+00 .3604E-01 .2480E-01 .5747E-01 .3267E-01 .3604E-01 .2373E-01 .5978E-01 .3604E-01 .2480E-01 .2037E-02
.3065E+03 .5861E+00 .4233E-01 .2904E-01 .6741E-01 .3837E-01 .4233E-01 .2780E-01 .7013E-01 .4233E-01 .2904E-01 .2394E-02
