Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2800E+03 .7851E-01 .3269E-18 .1911E-18 .4588E-18 .2678E-18 .3269E-18 .1751E-18 .5019E-18 .3269E-18 .1911E-18 .1391E-19
.2805E+03 .1024E+00 .5275E-17 .2649E-17 .6970E-17 .4321E-17 .5275E-17 .2429E-17 .7704E-17 .5275E-17 .2649E-17 .2107E-18
.2810E+03 .1717E+00 .2343E-16 .1084E-16 .3003E-16 .1919E-16 .2343E-16 .9941E-17 .3337E-16 .2343E-16 .1084E-16 .9074E-18
.2815E+03 .2412E+00 .3741E-15 .1499E-15 .4563E-15 .3065E-15 .3741E-15 .1376E-15 .5117E-15 .3741E-15 .1499E-15 .1375E-16
.2820E+03 .2918E+00 .2062E-14 .7456E-15 .2435E-14 .1689E-14 .2062E-14 .6848E-15 .2747E-14 .2062E-14 .7456E-15 .7334E-16
.2825E+03 .3144E+00 .6163E-14 .2053E-14 .7101E-14 .5049E-14 .6163E-14 .1886E-14 .8050E-14 .6163E-14 .2053E-14 .2139E-15
.2830E+03 .3431E+00 .2062E-13 .6296E-14 .2319E-13 .1689E-13 .2062E-13 .5791E-14 .2641E-13 .2062E-13 .6296E-14 .6984E-15
.2835E+03 .3225E+00 .3377E-13 .9668E-14 .3733E-13 .2767E-13 .3377E-13 .8896E-14 .4267E-13 .3377E-13 .9668E-14 .1125E-14
.2840E+03 .3213E+00 .4191E-12 .2549E-12 .5982E-12 .3433E-12 .4191E-12 .2335E-12 .6526E-12 .4191E-12 .2549E-12 .1860E-13
.2845E+03 .2516E+00 .1077E-11 .6598E-12 .1542E-11 .8823E-12 .1077E-11 .6045E-12 .1682E-11 .1077E-11 .6598E-12 .4811E-13
.2850E+03 .1186E+00 .1797E-11 .1118E-11 .2590E-11 .1472E-11 .1797E-11 .1024E-11 .2821E-11 .1797E-11 .1118E-11 .8110E-13
.2855E+03 .1378E+00 .9209E-11 .5931E-11 .1347E-10 .7544E-11 .9209E-11 .5433E-11 .1464E-10 .9209E-11 .5931E-11 .4237E-12
.2860E+03 .3008E+00 .3716E-10 .2365E-10 .5409E-10 .3044E-10 .3716E-10 .2166E-10 .5882E-10 .3716E-10 .2365E-10 .1705E-11
