3,0.120,0.060,0.999,0.114,0.057,0.947
5,0.117,0.059,0.996,0.003,0.002,0.017
7,0.111,0.056,0.988,0.007,0.004,0.027
9,0.108,0.054,1.002,0.004,0.003,0.017
El: -64.13
11,0.108,0.054,1.002,0.001,0.000,0.010
13,0.108,0.054,1.002,0.001,0.000,0.010
15,0.108,0.054,1.000,0.000,0.000,0.002
17,0.108,0.054,1.005,0.000,0.001,0.022
19,0.108,0.054,1.000,0.002,0.000,0.015
El: -64.11
21,0.108,0.054,1.005,0.000,0.001,0.022
23,0.106,0.053,0.994,0.003,0.001,0.036
25,0.106,0.053,0.999,0.002,0.002,0.042
27,0.105,0.054,0.977,0.003,0.001,0.031
29,0.105,0.053,0.990,0.002,0.002,0.047
El: -64.09
31,0.104,0.054,0.968,0.002,0.001,0.030
33,0.104,0.053,0.980,0.002,0.002,0.046
35,0.104,0.053,0.983,0.002,0.002,0.047
37,0.104,0.053,0.983,0.002,0.002,0.054
39,0.103,0.053,0.976,0.001,0.002,0.039
El: -64.08
41,0.102,0.052,0.985,0.002,0.002,0.047
43,0.103,0.051,1.005,0.001,0.003,0.050
45,0.102,0.052,0.981,0.001,0.002,0.048
47,0.103,0.051,1.002,0.000,0.003,0.052
49,0.103,0.052,0.997,0.002,0.002,0.045
El: -64.06
51,0.103,0.052,0.993,0.000,0.002,0.047
53,0.103,0.051,1.012,0.002,0.003,0.048
3,0.108,0.055,0.990,0.103,0.052,0.943
5,0.108,0.054,1.003,0.002,0.001,0.028
7,0.108,0.054,0.998,0.001,0.001,0.022
9,0.108,0.054,0.987,0.000,0.002,0.032
El: -64.13
11,0.108,0.055,0.988,0.002,0.002,0.038
13,0.108,0.054,0.992,0.000,0.002,0.025
15,0.108,0.054,0.992,0.000,0.001,0.025
17,0.108,0.054,0.996,0.000,0.001,0.019
19,0.108,0.054,1.000,0.000,0.000,0.004
El: -64.11
21,0.107,0.054,0.998,0.001,0.000,0.010
23,0.107,0.054,0.998,0.001,0.000,0.010
25,0.107,0.054,0.998,0.001,0.000,0.010
27,0.107,0.054,0.998,0.001,0.000,0.010
29,0.107,0.054,0.995,0.001,0.000,0.014
El: -64.09
31,0.107,0.054,0.991,0.002,0.000,0.019
33,0.105,0.054,0.975,0.003,0.000,0.028
35,0.106,0.054,0.982,0.003,0.000,0.023
37,0.106,0.054,0.982,0.002,0.000,0.022
39,0.106,0.054,0.982,0.002,0.000,0.022
El: -64.08
41,0.105,0.054,0.973,0.003,0.000,0.024
43,0.101,0.055,0.933,0.010,0.010,0.142
45,0.102,0.052,0.983,0.003,0.004,0.070
47,0.102,0.051,1.007,0.001,0.003,0.059
49,0.101,0.051,0.992,0.004,0.003,0.045
El: -64.06
51,0.103,0.052,0.993,0.002,0.003,0.049
53,0.093,0.046,1.014,0.010,0.007,0.057
55,0.098,0.049,0.988,0.005,0.004,0.036
57,0.098,0.049,0.995,0.000,0.001,0.021
59,0.098,0.049,0.995,0.000,0.001,0.020
El: -64.05
61,0.098,0.049,0.991,0.000,0.001,0.028
64,0.098,0.049,0.995,0.000,0.001,0.020
66,0.098,0.049,0.995,0.000,0.001,0.020
68,0.098,0.049,0.995,0.000,0.001,0.020
70,0.098,0.049,1.000,0.000,0.000,0.005
El: -64.03
72,0.098,0.049,0.993,0.001,0.001,0.023
74,0.098,0.049,0.993,0.001,0.001,0.022
76,0.097,0.049,0.983,0.002,0.001,0.032
78,0.097,0.049,0.990,0.001,0.001,0.025
80,0.098,0.049,0.995,0.000,0.001,0.020
El: -64.01
82,0.097,0.049,0.990,0.002,0.000,0.021
84,0.098,0.049,1.000,0.001,0.000,0.010
86,0.097,0.049,0.990,0.002,0.000,0.022
88,0.095,0.049,0.973,0.003,0.002,0.042
90,0.097,0.049,0.996,0.003,0.001,0.040
El: -64.00
92,0.094,0.048,0.973,0.003,0.001,0.041
94,0.093,0.048,0.974,0.001,0.002,0.042
96,0.093,0.047,0.982,0.000,0.002,0.049
98,0.094,0.049,0.958,0.002,0.001,0.030
100,0.093,0.047,0.987,0.001,0.003,0.058
El: -63.98
102,0.092,0.046,1.003,0.002,0.003,0.057
104,0.093,0.045,1.021,0.001,0.002,0.051
106,0.093,0.046,1.013,0.000,0.002,0.052
108,0.092,0.045,1.033,0.002,0.003,0.067
110,0.091,0.045,1.020,0.002,0.003,0.067
El: -63.96
112,0.091,0.044,1.034,0.002,0.001,0.035
114,0.090,0.045,1.002,0.003,0.002,0.059
116,0.091,0.045,1.014,0.002,0.003,0.062
118,0.090,0.044,1.022,0.003,0.001,0.028
120,0.090,0.046,0.987,0.002,0.003,0.074
