3,0.254,0.127,1.000,0.241,0.120,0.951
5,0.254,0.127,1.000,0.000,0.000,0.000
7,0.255,0.128,0.997,0.002,0.002,0.013
9,0.254,0.127,0.999,0.002,0.001,0.005
El: -64.13
11,0.254,0.127,1.001,0.001,0.001,0.010
13,0.253,0.127,0.996,0.002,0.000,0.009
15,0.253,0.127,0.996,0.002,0.000,0.008
17,0.253,0.127,0.995,0.002,0.000,0.008
19,0.253,0.127,0.995,0.002,0.000,0.008
El: -64.11
21,0.251,0.127,0.989,0.003,0.000,0.011
23,0.253,0.127,0.994,0.003,0.000,0.010
25,0.253,0.127,0.995,0.002,0.000,0.008
27,0.252,0.127,0.992,0.003,0.000,0.010
29,0.251,0.127,0.988,0.003,0.000,0.010
El: -64.09
31,0.250,0.127,0.986,0.002,0.000,0.009
33,0.250,0.127,0.984,0.001,0.001,0.010
35,0.250,0.127,0.983,0.001,0.000,0.006
37,0.252,0.127,0.992,0.003,0.000,0.013
39,0.253,0.127,0.995,0.002,0.000,0.009
El: -64.08
41,0.253,0.127,0.996,0.002,0.000,0.008
43,0.253,0.127,0.996,0.002,0.000,0.008
45,0.253,0.127,0.996,0.002,0.000,0.008
47,0.252,0.127,0.993,0.002,0.000,0.010
49,0.252,0.127,0.992,0.002,0.000,0.009
El: -64.06
51,0.252,0.127,0.990,0.003,0.000,0.012
53,0.251,0.127,0.990,0.002,0.001,0.011
55,0.250,0.126,0.989,0.002,0.002,0.015
57,0.249,0.126,0.989,0.002,0.002,0.016
59,0.249,0.126,0.989,0.000,0.002,0.016
El: -64.05
61,0.250,0.126,0.994,0.001,0.002,0.021
64,0.249,0.126,0.991,0.002,0.002,0.018
66,0.245,0.124,0.989,0.006,0.004,0.017
68,0.245,0.123,0.998,0.002,0.002,0.018
70,0.245,0.123,0.997,0.002,0.002,0.014
El: -64.03
72,0.244,0.122,0.997,0.001,0.001,0.009
74,0.252,0.127,0.993,0.010,0.006,0.021
76,0.254,0.129,0.988,0.004,0.003,0.014
78,0.240,0.121,0.996,0.015,0.009,0.014
80,0.247,0.124,0.999,0.007,0.004,0.023
El: -64.01
82,0.245,0.122,1.004,0.003,0.001,0.009
84,0.244,0.122,0.998,0.001,0.001,0.010
86,0.244,0.122,1.000,0.000,0.000,0.002
88,0.244,0.122,1.000,0.000,0.000,0.000
90,0.245,0.122,1.001,0.001,0.000,0.004
El: -64.00
92,0.244,0.122,1.000,0.002,0.000,0.009
94,0.244,0.122,0.999,0.001,0.000,0.004
96,0.245,0.122,1.001,0.001,0.000,0.005
98,0.245,0.122,1.001,0.001,0.000,0.004
100,0.245,0.122,1.001,0.001,0.000,0.004
El: -63.98
102,0.244,0.122,1.000,0.000,0.000,0.001
104,0.244,0.122,0.999,0.002,0.000,0.008
106,0.244,0.122,0.998,0.002,0.001,0.011
108,0.245,0.122,1.003,0.001,0.001,0.015
110,0.245,0.123,0.995,0.002,0.002,0.016
El: -63.96
112,0.246,0.124,0.992,0.003,0.003,0.016
114,0.248,0.124,0.999,0.005,0.002,0.010
116,0.254,0.127,0.996,0.007,0.003,0.017
118,0.254,0.129,0.990,0.001,0.003,0.019
120,0.254,0.128,0.994,0.001,0.002,0.016
El: -63.95
122,0.246,0.123,0.995,0.014,0.007,0.012
124,0.235,0.118,0.996,0.014,0.008,0.018
126,0.228,0.113,1.008,0.007,0.005,0.021
129,0.228,0.113,1.009,0.002,0.001,0.014
131,0.230,0.116,0.997,0.005,0.004,0.022
El: -63.93
133,0.225,0.113,0.999,0.005,0.003,0.005
135,0.225,0.113,0.999,0.001,0.001,0.005
137,0.225,0.112,1.001,0.001,0.000,0.005
139,0.225,0.112,1.000,0.002,0.000,0.007
El: -63.92
141,0.224,0.112,0.996,0.003,0.000,0.012
143,0.224,0.112,0.995,0.003,0.000,0.012
145,0.223,0.112,0.990,0.003,0.000,0.014
147,0.221,0.112,0.983,0.003,0.000,0.012
149,0.220,0.112,0.979,0.001,0.000,0.006
El: -63.90
151,0.220,0.112,0.982,0.001,0.001,0.011
153,0.220,0.112,0.986,0.001,0.002,0.017
155,0.220,0.112,0.984,0.001,0.001,0.014
157,0.220,0.112,0.986,0.001,0.002,0.016
159,0.220,0.111,0.995,0.001,0.003,0.023
El: -63.88
161,0.220,0.110,0.998,0.000,0.002,0.022
163,0.219,0.109,1.007,0.002,0.003,0.022
165,0.217,0.109,0.998,0.003,0.002,0.023
167,0.216,0.109,0.989,0.002,0.002,0.023
169,0.217,0.109,0.999,0.003,0.002,0.025
El: -63.87
171,0.216,0.108,0.999,0.002,0.002,0.013
173,0.216,0.108,1.001,0.002,0.001,0.009
175,0.216,0.109,0.994,0.001,0.002,0.019
177,0.215,0.108,0.999,0.001,0.001,0.012
179,0.216,0.108,1.001,0.002,0.001,0.009
El: -63.85
