Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2980E+03 .5581E+00 .6401E-05 .1782E-04 .2052E-04 .2705E-05 .6401E-05 .1290E-04 .1930E-04 .6401E-05 .1782E-04 .7753E-06
.2985E+03 .3790E+00 .7224E-05 .1812E-04 .2118E-04 .3053E-05 .7224E-05 .1313E-04 .2035E-04 .7224E-05 .1812E-04 .8040E-06
.2990E+03 .5771E+00 .1763E-04 .4070E-04 .4815E-04 .7451E-05 .1763E-04 .2949E-04 .4712E-04 .1763E-04 .4070E-04 .1837E-05
.2995E+03 .5217E+00 .3344E-04 .7099E-04 .8513E-04 .1413E-04 .3344E-04 .5145E-04 .8489E-04 .3344E-04 .7099E-04 .3263E-05
.3000E+03 .4169E+00 .4128E-04 .8564E-04 .1031E-03 .1745E-04 .4128E-04 .6208E-04 .1034E-03 .4128E-04 .8564E-04 .3964E-05
.3005E+03 .4394E+00 .6367E-04 .1327E-03 .1596E-03 .2691E-04 .6367E-04 .9620E-04 .1599E-03 .6367E-04 .1327E-03 .6234E-05
.3010E+03 .4942E+00 .1243E-03 .2718E-03 .3243E-03 .5255E-04 .1243E-03 .1971E-03 .3214E-03 .1243E-03 .2718E-03 .1285E-04
.3015E+03 .5298E+00 .2095E-03 .3979E-03 .4864E-03 .8853E-04 .2095E-03 .2888E-03 .4982E-03 .2095E-03 .3979E-03 .1964E-04
.3020E+03 .3745E+00 .1852E-03 .3268E-03 .4050E-03 .7825E-04 .1852E-03 .2373E-03 .4224E-03 .1852E-03 .3268E-03 .1664E-04
.3025E+03 .5441E+00 .3956E-03 .6210E-03 .7882E-03 .1672E-03 .3956E-03 .4513E-03 .8469E-03 .3956E-03 .6210E-03 .3255E-04
.3030E+03 .6771E+00 .7875E-03 .1165E-02 .1498E-02 .3328E-03 .7875E-03 .8472E-03 .1635E-02 .7875E-03 .1165E-02 .6212E-04
.3035E+03 .6891E+00 .1052E-02 .1525E-02 .1970E-02 .4445E-03 .1052E-02 .1109E-02 .2161E-02 .1052E-02 .1525E-02 .8189E-04
.3040E+03 .5775E+00 .1012E-02 .1445E-02 .1873E-02 .4276E-03 .1012E-02 .1051E-02 .2063E-02 .1012E-02 .1445E-02 .7805E-04
.3045E+03 .6485E+00 .1551E-02 .2192E-02 .2848E-02 .6556E-03 .1551E-02 .1594E-02 .3145E-02 .1551E-02 .2192E-02 .1188E-03
.3050E+03 .6733E+00 .2408E-02 .3411E-02 .4429E-02 .1018E-02 .2408E-02 .2481E-02 .4889E-02 .2408E-02 .3411E-02 .1848E-03
.3055E+03 .6128E+00 .2806E-02 .3988E-02 .5174E-02 .1186E-02 .2806E-02 .2900E-02 .5706E-02 .2806E-02 .3988E-02 .2160E-03
.3060E+03 .5426E+00 .2758E-02 .3898E-02 .5064E-02 .1166E-02 .2758E-02 .2835E-02 .5593E-02 .2758E-02 .3898E-02 .2116E-03
.3065E+03 .5861E+00 .3477E-02 .4921E-02 .6390E-02 .1470E-02 .3477E-02 .3579E-02 .7056E-02 .3477E-02 .4921E-02 .2675E-03
.3070E+03 .6446E+00 .5179E-02 .7516E-02 .9705E-02 .2189E-02 .5179E-02 .5466E-02 .1065E-01 .5179E-02 .7516E-02 .4068E-03
.3075E+03 .6519E+00 .6895E-02 .1117E-01 .1409E-01 .2914E-02 .6895E-02 .8121E-02 .1502E-01 .6895E-02 .1117E-01 .5897E-03
.3080E+03 .6567E+00 .7386E-02 .1168E-01 .1480E-01 .3121E-02 .7386E-02 .8493E-02 .1588E-01 .7386E-02 .1168E-01 .6214E-03
.3085E+03 .6806E+00 .8757E-02 .1333E-01 .1703E-01 .3701E-02 .8757E-02 .9692E-02 .1845E-01 .8757E-02 .1333E-01 .7161E-03
.3090E+03 .5623E+00 .8053E-02 .1188E-01 .1528E-01 .3403E-02 .8053E-02 .8638E-02 .1669E-01 .8053E-02 .1188E-01 .6436E-03
.3095E+03 .5136E+00 .9742E-02 .1357E-01 .1769E-01 .4117E-02 .9742E-02 .9873E-02 .1962E-01 .9742E-02 .1357E-01 .7468E-03
.3100E+03 .4651E+00 .1008E-01 .1363E-01 .1789E-01 .4258E-02 .1008E-01 .9917E-02 .1999E-01 .1008E-01 .1363E-01 .7564E-03
.3105E+03 .7149E+00 .1667E-01 .2209E-01 .2914E-01 .7046E-02 .1667E-01 .1608E-01 .3275E-01 .1667E-01 .2209E-01 .1235E-02
.3110E+03 .8241E+00 .2139E-01 .2769E-01 .3673E-01 .9039E-02 .2139E-01 .2015E-01 .4154E-01 .2139E-01 .2769E-01 .1560E-02
.3115E+03 .7648E+00 .2099E-01 .2670E-01 .3557E-01 .8870E-02 .2099E-01 .1944E-01 .4042E-01 .2099E-01 .2670E-01 .1513E-02
.3120E+03 .6421E+00 .2157E-01 .2672E-01 .3584E-01 .9115E-02 .2157E-01 .1946E-01 .4102E-01 .2157E-01 .2672E-01 .1528E-02
.3125E+03 .6970E+00 .2676E-01 .3257E-01 .4388E-01 .1131E-01 .2676E-01 .2372E-01 .5048E-01 .2676E-01 .3257E-01 .1876E-02
.3130E+03 .7115E+00 .2948E-01 .3538E-01 .4784E-01 .1246E-01 .2948E-01 .2577E-01 .5525E-01 .2948E-01 .3538E-01 .2050E-02
.3135E+03 .7257E+00 .2890E-01 .3426E-01 .4647E-01 .1221E-01 .2890E-01 .2495E-01 .5386E-01 .2890E-01 .3426E-01 .1997E-02
.3140E+03 .7936E+00 .3663E-01 .4283E-01 .5831E-01 .1548E-01 .3663E-01 .3120E-01 .6783E-01 .3663E-01 .4283E-01 .2512E-02
.3145E+03 .5931E+00 .3287E-01 .3819E-01 .5208E-01 .1389E-01 .3287E-01 .2782E-01 .6069E-01 .3287E-01 .3819E-01 .2247E-02
.3150E+03 .7541E+00 .4374E-01 .5027E-01 .6875E-01 .1849E-01 .4374E-01 .3663E-01 .8037E-01 .4374E-01 .5027E-01 .2971E-02
.3155E+03 .6804E+00 .3705E-01 .4183E-01 .5749E-01 .1566E-01 .3705E-01 .3048E-01 .6754E-01 .3705E-01 .4183E-01 .2489E-02
.3160E+03 .5183E+00 .3260E-01 .3666E-01 .5044E-01 .1378E-01 .3260E-01 .2672E-01 .5932E-01 .3260E-01 .3666E-01 .2187E-02
.3165E+03 .6632E+00 .4706E-01 .5291E-01 .7279E-01 .1989E-01 .4706E-01 .3857E-01 .8563E-01 .4706E-01 .5291E-01 .3200E-02
.3170E+03 .8229E+00 .5901E-01 .6556E-01 .9050E-01 .2494E-01 .5901E-01 .4782E-01 .1068E+00 .5901E-01 .6556E-01 .4033E-02
.3175E+03 .8804E+00 .6216E-01 .6796E-01 .9423E-01 .2627E-01 .6216E-01 .4959E-01 .1117E+00 .6216E-01 .6796E-01 .4258E-02
.3180E+03 .6346E+00 .4873E-01 .5313E-01 .7372E-01 .2059E-01 .4873E-01 .3878E-01 .8751E-01 .4873E-01 .5313E-01 .3375E-02
.3185E+03 .6824E+00 .6037E-01 .6657E-01 .9209E-01 .2551E-01 .6037E-01 .4861E-01 .1090E+00 .6037E-01 .6657E-01 .4277E-02
.3190E+03 .7535E+00 .7181E-01 .7939E-01 .1097E+00 .3035E-01 .7181E-01 .5799E-01 .1298E+00 .7181E-01 .7939E-01 .5171E-02
.3195E+03 .6833E+00 .5984E-01 .6393E-01 .8922E-01 .2529E-01 .5984E-01 .4673E-01 .1066E+00 .5984E-01 .6393E-01 .4270E-02
.3200E+03 .8369E+00 .7304E-01 .7689E-01 .1078E+00 .3087E-01 .7304E-01 .5623E-01 .1293E+00 .7304E-01 .7689E-01 .5234E-02
.3205E+03 .9082E+00 .9075E-01 .9711E-01 .1355E+00 .3835E-01 .9075E-01 .7103E-01 .1618E+00 .9075E-01 .9711E-01 .6655E-02
.3210E+03 .7156E+00 .8007E-01 .8743E-01 .1213E+00 .3384E-01 .8007E-01 .6397E-01 .1440E+00 .8007E-01 .8743E-01 .6025E-02
.3215E+03 .6753E+00 .7740E-01 .8384E-01 .1166E+00 .3271E-01 .7740E-01 .6136E-01 .1388E+00 .7740E-01 .8384E-01 .5862E-02
.3220E+03 .8151E+00 .8495E-01 .8790E-01 .1238E+00 .3590E-01 .8495E-01 .6438E-01 .1493E+00 .8495E-01 .8790E-01 .6310E-02
.3225E+03 .7018E+00 .7440E-01 .7621E-01 .1076E+00 .3144E-01 .7440E-01 .5584E-01 .1302E+00 .7440E-01 .7621E-01 .5562E-02
.3230E+03 .6403E+00 .7375E-01 .7631E-01 .1075E+00 .3117E-01 .7375E-01 .5593E-01 .1297E+00 .7375E-01 .7631E-01 .5624E-02
.3235E+03 .6833E+00 .8920E-01 .9290E-01 .1306E+00 .3770E-01 .8920E-01 .6812E-01 .1573E+00 .8920E-01 .9290E-01 .6921E-02
.3240E+03 .7817E+00 .1049E+00 .1083E+00 .1527E+00 .4435E-01 .1049E+00 .7947E-01 .1844E+00 .1049E+00 .1083E+00 .8198E-02
.3245E+03 .8269E+00 .1078E+00 .1095E+00 .1551E+00 .4557E-01 .1078E+00 .8038E-01 .1882E+00 .1078E+00 .1095E+00 .8425E-02
.3250E+03 .7845E+00 .9581E-01 .9527E-01 .1358E+00 .4049E-01 .9581E-01 .6996E-01 .1658E+00 .9581E-01 .9527E-01 .7461E-02
.3255E+03 .9417E+00 .1226E+00 .1217E+00 .1735E+00 .5183E-01 .1226E+00 .8938E-01 .2120E+00 .1226E+00 .1217E+00 .9638E-02
.3260E+03 .1053E+01 .1491E+00 .1475E+00 .2106E+00 .6303E-01 .1491E+00 .1084E+00 .2576E+00 .1491E+00 .1475E+00 .1182E-01
.3265E+03 .9975E+00 .1496E+00 .1479E+00 .2111E+00 .6321E-01 .1496E+00 .1087E+00 .2583E+00 .1496E+00 .1479E+00 .1199E-01
.3270E+03 .1010E+01 .1509E+00 .1469E+00 .2107E+00 .6376E-01 .1509E+00 .1081E+00 .2589E+00 .1509E+00 .1469E+00 .1211E-01
.3275E+03 .9966E+00 .1474E+00 .1413E+00 .2035E+00 .6228E-01 .1474E+00 .1040E+00 .2513E+00 .1474E+00 .1413E+00 .1184E-01
.3280E+03 .9535E+00 .1330E+00 .1250E+00 .1812E+00 .5623E-01 .1330E+00 .9205E-01 .2251E+00 .1330E+00 .1250E+00 .1067E-01
.3285E+03 .9138E+00 .1397E+00 .1313E+00 .1904E+00 .5902E-01 .1397E+00 .9676E-01 .2364E+00 .1397E+00 .1313E+00 .1132E-01
.3290E+03 .1025E+01 .1667E+00 .1577E+00 .2281E+00 .7045E-01 .1667E+00 .1162E+00 .2829E+00 .1667E+00 .1577E+00 .1371E-01
.3295E+03 .1140E+01 .1899E+00 .1790E+00 .2592E+00 .8026E-01 .1899E+00 .1319E+00 .3219E+00 .1899E+00 .1790E+00 .1574E-01
.3300E+03 .1163E+01 .1937E+00 .1797E+00 .2616E+00 .8187E-01 .1937E+00 .1326E+00 .3263E+00 .1937E+00 .1797E+00 .1606E-01
.3305E+03 .9731E+00 .1576E+00 .1427E+00 .2092E+00 .6659E-01 .1576E+00 .1053E+00 .2629E+00 .1576E+00 .1427E+00 .1299E-01
.3310E+03 .1006E+01 .1621E+00 .1447E+00 .2132E+00 .6850E-01 .1621E+00 .1068E+00 .2689E+00 .1621E+00 .1447E+00 .1337E-01
.3315E+03 .9821E+00 .1650E+00 .1470E+00 .2167E+00 .6973E-01 .1650E+00 .1086E+00 .2736E+00 .1650E+00 .1470E+00 .1373E-01
.3320E+03 .1007E+01 .1779E+00 .1593E+00 .2345E+00 .7517E-01 .1779E+00 .1178E+00 .2956E+00 .1779E+00 .1593E+00 .1500E-01
.3325E+03 .9727E+00 .1763E+00 .1577E+00 .2322E+00 .7451E-01 .1763E+00 .1166E+00 .2929E+00 .1763E+00 .1577E+00 .1501E-01
.3330E+03 .9796E+00 .1776E+00 .1565E+00 .2316E+00 .7505E-01 .1776E+00 .1158E+00 .2934E+00 .1776E+00 .1565E+00 .1513E-01
.3335E+03 .9170E+00 .1631E+00 .1405E+00 .2095E+00 .6894E-01 .1631E+00 .1040E+00 .2672E+00 .1631E+00 .1405E+00 .1383E-01
.3340E+03 .9423E+00 .1684E+00 .1432E+00 .2144E+00 .7116E-01 .1684E+00 .1061E+00 .2745E+00 .1684E+00 .1432E+00 .1431E-01
.3345E+03 .1041E+01 .1940E+00 .1657E+00 .2476E+00 .8197E-01 .1940E+00 .1228E+00 .3167E+00 .1940E+00 .1657E+00 .1668E-01
.3350E+03 .9543E+00 .1825E+00 .1559E+00 .2330E+00 .7712E-01 .1825E+00 .1156E+00 .2980E+00 .1825E+00 .1559E+00 .1583E-01
.3355E+03 .1073E+01 .2088E+00 .1826E+00 .2708E+00 .8822E-01 .2088E+00 .1354E+00 .3441E+00 .2088E+00 .1826E+00 .1855E-01
.3360E+03 .7401E+00 .1454E+00 .1259E+00 .1874E+00 .6144E-01 .1454E+00 .9341E-01 .2388E+00 .1454E+00 .1259E+00 .1296E-01
.3365E+03 .9055E+00 .1768E+00 .1459E+00 .2206E+00 .7473E-01 .1768E+00 .1083E+00 .2852E+00 .1768E+00 .1459E+00 .1542E-01
.3370E+03 .7531E+00 .1467E+00 .1190E+00 .1810E+00 .6198E-01 .1467E+00 .8842E-01 .2351E+00 .1467E+00 .1190E+00 .1277E-01
.3375E+03 .9398E+00 .1838E+00 .1473E+00 .2250E+00 .7769E-01 .1838E+00 .1095E+00 .2934E+00 .1838E+00 .1473E+00 .1602E-01
.3380E+03 .8870E+00 .1791E+00 .1441E+00 .2198E+00 .7571E-01 .1791E+00 .1072E+00 .2863E+00 .1791E+00 .1441E+00 .1577E-01
.3385E+03 .9911E+00 .2035E+00 .1664E+00 .2523E+00 .8598E-01 .2035E+00 .1238E+00 .3272E+00 .2035E+00 .1664E+00 .1827E-01
.3390E+03 .9814E+00 .2039E+00 .1638E+00 .2499E+00 .8617E-01 .2039E+00 .1219E+00 .3258E+00 .2039E+00 .1638E+00 .1828E-01
.3395E+03 .9386E+00 .1966E+00 .1573E+00 .2404E+00 .8310E-01 .1966E+00 .1172E+00 .3138E+00 .1966E+00 .1573E+00 .1775E-01
.3400E+03 .1134E+01 .2372E+00 .1838E+00 .2841E+00 .1002E+00 .2372E+00 .1371E+00 .3742E+00 .2372E+00 .1838E+00 .2120E-01
.3405E+03 .1017E+01 .2149E+00 .1735E+00 .2643E+00 .9083E-01 .2149E+00 .1293E+00 .3442E+00 .2149E+00 .1735E+00 .1985E-01
.3410E+03 .9646E+00 .2078E+00 .1608E+00 .2486E+00 .8780E-01 .2078E+00 .1200E+00 .3277E+00 .2078E+00 .1608E+00 .1886E-01
.3415E+03 .8886E+00 .1938E+00 .1467E+00 .2286E+00 .8190E-01 .1938E+00 .1095E+00 .3033E+00 .1938E+00 .1467E+00 .1750E-01
.3420E+03 .1061E+01 .2334E+00 .1745E+00 .2732E+00 .9864E-01 .2334E+00 .1304E+00 .3638E+00 .2334E+00 .1745E+00 .2110E-01
.3425E+03 .9910E+00 .2203E+00 .1628E+00 .2559E+00 .9310E-01 .2203E+00 .1217E+00 .3420E+00 .2203E+00 .1628E+00 .1993E-01
.3430E+03 .1085E+01 .2426E+00 .1788E+00 .2813E+00 .1025E+00 .2426E+00 .1337E+00 .3763E+00 .2426E+00 .1788E+00 .2210E-01
.3435E+03 .1018E+01 .2288E+00 .1680E+00 .2647E+00 .9671E-01 .2288E+00 .1257E+00 .3546E+00 .2288E+00 .1680E+00 .2096E-01
.3440E+03 .7669E+00 .1718E+00 .1294E+00 .2020E+00 .7261E-01 .1718E+00 .9685E-01 .2687E+00 .1718E+00 .1294E+00 .1611E-01
.3445E+03 .7520E+00 .1713E+00 .1250E+00 .1974E+00 .7239E-01 .1713E+00 .9362E-01 .2649E+00 .1713E+00 .1250E+00 .1588E-01
.3450E+03 .9988E+00 .2310E+00 .1641E+00 .2617E+00 .9761E-01 .2310E+00 .1231E+00 .3540E+00 .2310E+00 .1641E+00 .2125E-01
.3455E+03 .1019E+01 .2381E+00 .1668E+00 .2675E+00 .1006E+00 .2381E+00 .1252E+00 .3633E+00 .2381E+00 .1668E+00 .2189E-01
.3460E+03 .8646E+00 .2040E+00 .1412E+00 .2274E+00 .8622E-01 .2040E+00 .1060E+00 .3100E+00 .2040E+00 .1412E+00 .1877E-01
.3465E+03 .9772E+00 .2326E+00 .1593E+00 .2576E+00 .9832E-01 .2326E+00 .1197E+00 .3523E+00 .2326E+00 .1593E+00 .2144E-01
.3470E+03 .1045E+01 .2502E+00 .1706E+00 .2763E+00 .1058E+00 .2502E+00 .1282E+00 .3785E+00 .2502E+00 .1706E+00 .2319E-01
.3475E+03 .8420E+00 .2032E+00 .1376E+00 .2234E+00 .8586E-01 .2032E+00 .1035E+00 .3066E+00 .2032E+00 .1376E+00 .1890E-01
.3480E+03 .9603E+00 .2340E+00 .1561E+00 .2549E+00 .9888E-01 .2340E+00 .1175E+00 .3514E+00 .2340E+00 .1561E+00 .2175E-01
.3485E+03 .9597E+00 .2356E+00 .1554E+00 .2550E+00 .9956E-01 .2356E+00 .1170E+00 .3526E+00 .2356E+00 .1554E+00 .2193E-01
.3490E+03 .8882E+00 .2200E+00 .1437E+00 .2366E+00 .9296E-01 .2200E+00 .1083E+00 .3283E+00 .2200E+00 .1437E+00 .2052E-01
.3495E+03 .8766E+00 .2189E+00 .1418E+00 .2343E+00 .9251E-01 .2189E+00 .1070E+00 .3259E+00 .2189E+00 .1418E+00 .2048E-01
