V1; V2
2.50; 1.98
2.47; 0.29
2.58; 0.70
2.43; 0.19
2.37; 0.40
2.50; 1.54
2.03; 1.02
2.50; 1.67
2.32; 0.63
2.44; 0.31
2.33; 0.74
2.24; 1.19
2.31; 0.72
2.13; 0.98
2.15; 0.56
2.35; 0.55
2.70; 0.79
2.23; 0.60
2.46; 1.17
2.00; 1.00
2.36; 0.23
2.67; 0.84
2.10; 0.95
2.42; 0.80
2.07; 0.39
2.35; 1.56
2.15; 1.02
2.16; 0.66
2.39; 0.59
2.22; 1.19
2.40; 0.58
2.40; 0.35
2.50; 0.94
2.37; 0.67
2.34; 0.54
2.53; 1.38
2.09; 0.47
2.58; 1.17
1.98; 1.21
2.53; 1.20
2.19; 0.46
2.22; 0.13
2.54; 1.21
1.91; 0.47
2.49; 0.95
2.27; 0.98
2.34; 1.08
2.02; 1.13
2.41; 1.25
2.22; 1.04
2.27; 1.08
2.47; 0.89
1.84; 1.65
2.10; 1.01
2.11; 1.72
2.23; 0.71
1.79; 0.63
1.89; 1.23
1.75; 0.93
2.14; 0.90
1.91; 1.75
1.43; 0.72
2.16; 1.29
2.16; 1.02
1.89; 0.73
2.08; 2.50
1.75; 0.70
1.92; 1.27
1.50; 0.46
2.11; 1.66
2.09; 0.79
2.08; 0.21
2.17; 1.71
2.01; 0.21
2.02; 1.57
2.19; 1.32
2.00; 1.36
2.16; 1.95
1.78; 0.96
2.14; 1.19
2.38; 1.29
1.54; 1.68
1.63; 1.30
2.23; 1.94
1.43; 1.33
1.49; 1.10
2.21; 0.65
2.01; 0.64
2.13; 1.75
2.12; 1.37
1.61; 0.28
1.96; 2.10
1.64; 1.22
2.03; 0.78
2.19; 1.04
2.19; 1.25
1.87; 1.03
2.08; 0.59
2.08; 1.05
1.57; 0.41
2.14; 0.64
1.72; 1.90
2.03; 1.03
2.23; 2.27
2.13; 1.25
2.14; 0.31
2.09; 0.76
2.53; 0.65
2.41; 1.41
2.32; 0.93
2.09; 1.96
1.76; 0.96
2.22; 1.27
2.39; 0.79
2.55; 0.65
2.14; 0.16
2.32; 1.55
2.55; 1.37
2.36; 1.47
2.53; 1.08
2.25; 0.12
2.28; 0.66
2.33; 0.45
1.96; 1.43
2.49; 1.02
2.35; 1.11
2.76; 1.68
2.23; 0.98
2.40; 0.76
2.17; 0.88
2.44; 1.39
2.35; 1.00
2.29; 1.04
2.41; 0.65
2.52; 1.23
2.53; 0.88
2.51; 1.42
2.17; 1.00
2.48; 1.21
2.48; 1.03
2.71; 1.01
2.01; 0.71
2.36; 0.72
2.28; 0.41
2.14; 1.08
2.62; 1.46
1.95; 0.06
2.79; 1.52
2.51; 0.88
2.46; 1.04
2.38; 0.35
2.52; 1.36
2.34; 0.83
2.03; 0.75
1.99; 0.36
2.33; 1.22
2.25; 0.28
2.43; 1.37
2.50; 1.57
2.16; 1.40
2.60; 1.57
2.11; 1.41
2.40; 0.72
2.19; 0.19
2.65; 0.36
2.09; 0.93
2.68; 1.63
2.47; 0.24
2.44; 1.20
2.38; 0.35
2.50; 0.44
2.29; 1.08
2.20; 0.57
2.14; 0.63
2.27; 1.28
1.85; 1.46
1.95; 1.17
2.55; 0.50
2.04; 1.59
2.36; 1.75
2.15; 1.02
2.04; 0.56
1.73; 0.59
2.30; 0.48
1.95; 1.42
2.51; 1.07
1.37; 1.54
2.29; 1.68
1.44; 0.80
1.58; 0.77
1.55; 0.53
1.59; 0.61
1.58; 0.86
1.66; 0.45
2.04; 1.51
2.09; 0.40
2.36; 1.64
1.95; 0.58
1.99; 0.53
2.05; 0.52
2.02; 2.16
1.16; 1.43
1.94; 1.60
1.55; 0.17
2.40; 0.14
2.14; 1.63
2.40; 1.17
2.56; 1.57
2.59; 0.01
2.68; 0.97
2.12; 1.97
2.03; 1.33
2.17; 1.19
2.33; 0.68
2.57; 1.60
2.28; 1.28
2.50; 1.30
2.15; 0.54
2.39; 1.76
2.44; 1.72
1.92; 2.21
2.31; 1.05
2.20; 0.82
2.17; 0.28
2.37; 0.82
2.17; 1.11
2.34; 1.62
2.14; 0.86
2.11; 1.22
2.52; 1.44
2.11; 0.10
2.61; 0.54
2.04; 1.37
1.85; 1.16
2.26; 1.09
1.98; 0.65
2.33; 1.17
2.25; 1.12
2.58; 0.40
2.08; 0.28
2.48; 0.40
2.48; 0.73
2.38; 0.57
2.47; 1.23
2.00; 0.44
2.20; 0.88
2.44; 1.40
2.39; 0.97
2.56; 0.58
1.96; 1.59
2.16; 0.39
2.63; 0.74
1.87; 1.22
2.53; 1.04
1.94; 0.72
2.24; 0.76
2.14; 0.48
2.19; 1.29
2.46; 1.15
2.08; 0.94
2.38; 0.50
2.27; 0.01
2.44; 1.33
2.64; 1.23
2.45; 0.10
2.68; 1.25
2.23; 1.44
2.32; 0.97
2.23; 1.15
2.23; 0.34
2.60; 0.76
2.23; 0.36
2.22; 1.23
2.28; 1.03
2.41; 0.11
2.34; 1.12
2.68; 0.38
2.11; 1.28
2.43; 1.11
2.18; 0.90
2.27; 1.79
2.31; 0.35
2.04; 1.71
2.50; 1.02
2.33; 0.86
1.91; 0.79
0.95; 1.79
1.14; 1.42
0.94; 1.02
1.04; 1.83
0.82; 1.29
1.99; 1.69
1.20; 1.52
1.48; 0.87
1.06; 1.00
1.41; 1.60
1.06; 0.82
1.88; 1.28
1.28; 0.75
1.57; 0.95
1.57; 1.39
1.60; 0.87
1.70; 0.92
1.90; 1.28
1.23; 0.95
1.05; 0.82
1.61; 1.12
1.74; 0.75
1.77; 1.06
1.45; 1.07
1.36; 1.24
1.35; 0.66
1.49; 1.30
1.86; 1.44
1.63; 0.68
0.97; 0.05
1.02; 1.48
1.37; 0.50
1.11; 0.56
1.45; 0.99
1.27; 0.74
2.30; 0.92
1.96; 0.47
1.56; 0.84
1.67; 1.28
2.23; 1.11
2.31; 0.88
2.40; 1.52
2.01; 1.06
2.16; 0.40
2.08; 1.15
2.34; 1.16
2.25; 1.12
2.35; 1.22
1.82; 1.38
2.42; 2.30
1.65; 0.35
1.54; 1.27
2.43; 1.05
2.45; 0.74
2.16; 0.00
2.12; 0.40
2.23; 1.08
2.63; 0.83
2.27; 0.76
2.27; 1.33
2.71; 1.32
2.57; 0.78
2.38; 0.29
2.40; 1.34
2.46; 1.53
2.29; 0.93
2.33; 0.81
2.47; 1.03
2.61; 1.19
2.53; 1.07
2.54; 1.49
2.42; 1.11
2.52; 0.73
2.36; 0.66
2.49; 0.78
2.39; 1.28
2.27; 0.33
2.32; 1.48
2.21; 0.78
2.32; 1.60
1.85; 0.95
2.35; 1.32
2.50; 0.53
2.18; 1.30
1.45; 0.46
1.99; 0.29
2.20; 1.18
2.45; 1.64
2.23; 0.77
2.26; 0.61
2.62; 1.01
2.23; 0.77
2.26; 0.61
2.62; 1.01
1.85; 0.07
2.61; 0.95
2.38; 0.81
2.37; 2.09
2.52; 1.61
2.09; 0.93
2.29; 0.93
2.64; 0.63
2.43; 1.07
2.41; 1.39
1.99; 0.72
2.24; 1.35
2.33; 0.38
2.54; 1.59
2.42; 1.79
2.00; 1.19
2.35; 0.11
2.53; 0.71
2.31; 0.36
2.17; 1.31
2.27; 1.30
2.13; 1.96
2.57; 1.53
2.14; 0.77
2.33; 1.01
2.14; 1.83
2.56; 1.48
2.36; 1.40
2.46; 0.22
2.09; 0.89
2.49; 0.92
2.25; 1.41
2.08; 0.94
2.28; 2.08
2.06; 0.50
2.30; 0.07
1.94; 0.88
1.98; 0.92
2.39; 1.51
2.03; 1.30
2.40; 0.41
1.89; 0.52
1.96; 1.13
1.32; 1.81
1.14; 0.70
0.84; 1.45
1.27; 0.39
1.57; 1.50
1.72; 1.13
1.43; 0.53
1.70; 0.44
2.13; 1.40
2.12; 1.78
1.94; 1.54
2.05; 1.96
2.13; 0.00
1.66; 1.63
1.11; 0.71
1.58; 1.13
2.22; 0.86
2.11; 1.45
2.63; 0.87
2.34; 0.59
2.74; 0.73
2.23; 0.31
2.43; 0.04
1.93; 1.11
2.22; 0.73
2.46; 0.00
2.26; 0.54
2.69; 0.83
2.26; 1.11
2.06; 0.00
2.78; 0.92
2.24; 1.21
2.42; 0.31
2.16; 0.70
1.94; 0.12
2.32; 1.01
2.23; 1.35
2.18; 0.91
2.11; 0.70
2.26; 0.64
2.32; 0.87
2.08; 1.34
2.59; 0.56
2.08; 1.08
2.11; 1.41
2.53; 0.53
2.27; 1.47
2.57; 0.51
2.75; 0.74
2.61; 0.89
2.38; 1.62
2.56; 0.68
2.26; 1.25
2.31; 1.27
2.54; 0.46
2.13; 0.32
2.59; 1.23
2.33; 0.79
2.22; 0.88
2.39; 1.03
2.35; 0.86
2.34; 1.18
1.75; 1.42
1.92; 1.42
2.22; 1.81
2.41; 1.01
2.04; 1.86
2.65; 1.07
1.95; 1.38
1.68; 1.65
1.25; 0.72
1.90; 0.56
2.61; 0.70
2.24; 1.01
2.52; 1.06
2.00; 0.83
2.36; 0.99
2.23; 2.02
2.09; 1.70
2.43; 1.54
2.36; 2.24
2.49; 1.31
2.42; 1.71
2.39; 0.85
1.25; 0.25
1.46; 2.20
0.95; 1.12
2.14; 1.85
1.64; 1.70
1.83; 1.22
2.21; 1.41
1.72; 0.57
1.75; 1.43
1.80; 0.31
2.08; 0.82
2.28; 1.14
1.97; 0.78
2.27; 0.33
1.91; 1.21
1.98; 0.97
2.50; 0.81
2.21; 1.52
2.33; 0.75
2.40; 0.49
2.11; 0.46
2.19; 1.41
2.41; 0.66
2.63; 1.16
2.22; 0.39
2.43; 0.52
1.31; 0.87
1.44; 1.41
1.42; 0.49
1.90; 0.58
1.79; 0.24
1.75; 0.94
1.80; 0.60
1.66; 1.52
2.40; 0.75
2.22; 0.29
2.46; 1.49
2.05; 0.68
2.65; 1.11
2.25; 1.04
2.30; 1.69
2.15; 1.26
2.22; 0.39
2.12; 0.40
2.09; 0.41
2.14; 1.22
2.14; 0.14
2.09; 0.36
2.14; 0.98
2.30; 0.19
2.43; 0.59
2.01; 0.37
2.77; 1.67
2.34; 0.13
2.44; 0.90
2.34; 1.35
2.35; 1.33
2.49; 0.20
2.28; 0.18
2.59; 0.39
1.91; 1.78
2.50; 0.68
2.08; 0.73
2.19; 1.32
2.45; 0.35
2.48; 1.77
2.28; 1.47
2.27; 1.21
2.70; 1.45
2.22; 1.99
2.39; 1.62
2.21; 1.27
2.22; 0.56
2.52; 0.73
2.25; 1.74
2.68; 0.76
2.08; 1.38
2.63; 1.98
2.61; 0.34
2.49; 1.57
2.64; 1.70
2.58; 0.04
2.22; 1.19
2.46; 0.71
2.30; 1.32
2.01; 1.38
2.47; 0.33
2.67; 0.46
2.41; 1.26
2.41; 1.61
2.38; 0.90
2.40; 0.75
2.52; 1.34
2.30; 0.54
2.24; 1.18
1.92; 1.32
2.21; 1.26
2.43; 1.86
2.15; 1.27
2.32; 0.79
2.51; 0.26
2.32; 0.50
2.41; 0.54
2.73; 1.49
1.94; 1.12
2.37; 0.48
2.30; 0.33
2.19; 1.09
2.35; 0.43
2.35; 0.38
2.50; 1.17
2.04; 0.84
2.53; 1.16
2.23; 1.48
1.77; 1.71
2.33; 0.99
2.47; 0.85
2.11; 0.85
2.17; 1.72
1.92; 1.95
1.40; 0.98
1.36; 1.14
1.33; 1.13
1.17; 0.22
2.00; 0.75
2.08; 1.05
1.49; 0.26
1.45; 1.27
2.13; 1.12
1.93; 0.78
2.24; 1.60
1.32; 0.35
1.86; 0.82
1.62; 0.95
1.85; 1.32
1.48; 0.89
1.48; 1.17
1.58; 0.69
1.98; 0.07
1.85; 1.27
1.85; 0.90
1.71; 0.47
1.41; 1.33
1.40; 1.70
2.59; 1.90
1.64; 0.87
1.70; 0.86
1.89; 1.23
1.44; 0.12
2.34; 0.97
2.54; 0.92
2.20; 0.85
2.26; 0.69
2.03; 0.13
2.33; 1.02
2.12; 0.31
2.29; 1.38
2.25; 1.30
2.05; 0.87
2.64; 1.83
1.99; 1.65
2.60; 1.17
2.44; 1.31
2.21; 1.46
2.47; 1.42
2.47; 1.92
2.50; 0.85
2.29; 0.67
2.76; 0.55
2.00; 1.15
2.48; 1.82
2.36; 1.65
2.33; 0.76
2.30; 0.97
2.58; 1.00
2.45; 0.44
2.40; 0.79
2.14; 1.50
2.44; 1.43
2.65; 0.92
2.11; 1.19
2.34; 1.16
1.99; 1.55
2.60; 1.27
2.49; 1.23
2.39; 0.99
2.18; 0.90
2.40; 1.31
2.14; 1.73
2.24; 0.44
2.34; 1.00
2.48; 1.24
2.70; 1.39
2.52; 1.30
2.41; 1.60
2.09; 0.90
2.43; 2.03
2.31; 1.57
2.14; 1.99
2.36; 1.19
2.11; 0.24
1.87; 0.05
1.90; 0.89
2.33; 1.44
2.08; 1.43
2.01; 1.59
2.62; 0.99
2.06; 1.14
2.13; 1.78
2.31; 0.63
2.55; 1.73
2.52; 1.32
2.15; 1.08
2.15; 1.29
2.30; 1.22
1.97; 1.40
1.97; 0.33
1.87; 1.20
2.23; 1.55
2.05; 2.49
1.89; 1.20
2.32; 1.60
2.15; 0.94
2.53; 1.78
2.13; 2.03
2.47; 1.15
2.38; 1.18
2.26; 1.55
2.19; 0.91
2.02; 1.77
2.13; 1.46
2.17; 1.95
2.43; 0.40
2.20; 0.74
2.18; 1.31
2.05; 1.50
2.05; 1.32
1.93; 1.33
2.39; 0.71
2.30; 0.97
2.31; 0.61
2.09; 2.08
2.19; 0.05
2.06; 1.28
1.81; 1.55
2.43; 1.23
2.12; 1.66
2.25; 1.01
2.61; 1.40
2.53; 0.84
2.05; 1.55
2.22; 1.16
2.17; 1.48
2.38; 0.72
2.57; 0.54
2.23; 1.37
2.53; 0.75
2.20; 0.59
2.44; 0.67
2.36; 1.53
2.43; 0.65
2.63; 0.87
2.33; 1.05
2.30; 1.36
2.49; 0.20
2.39; 0.88
2.19; 1.62
1.94; 0.16
2.21; 0.98
2.51; 0.70
2.37; 1.36
2.54; 0.89
2.25; 0.78
2.39; 0.21
2.30; 1.18
2.22; 1.16
2.56; 1.49
2.31; 0.83
2.51; 1.94
2.38; 0.00
2.06; 0.00
2.51; 1.45
2.49; 1.23
2.34; 1.45
2.29; 1.79
1.88; 1.07
2.34; 0.59
2.16; 1.52
2.22; 0.68
2.02; 1.37
2.16; 0.84
1.90; 1.80
2.02; 0.75
2.37; 0.74
2.37; 1.16
2.39; 1.63
2.14; 0.10
2.28; 0.51
2.68; 0.38
2.48; 1.74
2.52; 0.11
2.22; 1.26
2.53; 0.75
2.52; 0.11
2.22; 1.26
2.53; 0.75
2.72; 0.48
2.53; 0.25
2.37; 1.33
2.55; 0.34
2.31; 1.18
2.18; 1.43
2.03; 1.13
2.61; 1.10
2.37; 0.77
2.51; 0.00
2.44; 1.28
2.36; 0.88
2.15; 0.86
2.09; 0.95
2.43; 1.20
2.62; 2.31
2.15; 0.57
2.72; 0.56
2.46; 1.04
2.44; 1.99
2.53; 2.38
2.31; 1.20
2.67; 0.81
2.59; 0.86
2.49; 1.36
2.21; 0.26
2.18; 1.23
2.32; 0.40
2.28; 1.57
2.32; 0.84
2.01; 0.77
2.50; 0.81
2.51; 1.51
2.53; 1.56
2.51; 1.06
2.51; 0.79
2.09; 0.45
2.39; 0.41
2.26; 1.87
2.69; 2.17
2.25; 0.66
2.37; 1.91
2.17; 0.23
2.68; 1.97
2.55; 1.21
2.59; 1.98
2.42; 0.24
2.13; 1.01
2.27; 1.27
2.44; 0.70
2.60; 0.50
2.10; 1.08
2.06; 1.60
2.65; 0.37
2.45; 1.04
2.43; 1.60
2.36; 1.48
2.54; 0.85
2.33; 1.44
2.56; 1.76
2.39; 1.46
2.71; 1.24
2.67; 0.82
2.59; 0.39
2.24; 1.94
2.40; 0.84
2.48; 1.60
2.59; 0.85
2.41; 0.67
2.30; 1.93
2.20; 0.58
2.39; 1.35
2.20; 0.35
2.45; 1.09
2.68; 0.83
2.47; 0.88
2.46; 1.08
2.44; 0.36
2.47; 0.79
2.55; 1.13
2.19; 0.88
2.11; 1.33
2.40; 0.55
1.99; 1.83
2.52; 0.50
2.26; 0.58
2.35; 0.36
2.33; 1.25
2.04; 1.02
2.61; 1.23
2.04; 1.02
2.61; 1.23
2.52; 1.30
2.50; 0.48
2.36; 1.20
2.62; 1.13
2.63; 0.50
2.39; 0.74
2.26; 0.40
2.20; 1.16
2.19; 0.24
2.26; 1.30
2.56; 1.97
2.54; 1.67
2.43; 0.56
2.16; 0.66
2.51; 0.69
2.64; 0.50
2.04; 0.08
2.03; 0.75
2.28; 0.40
2.38; 0.59
2.33; 0.08
2.51; 0.94
2.18; 1.16
2.02; 0.75
2.15; 1.25
2.04; 0.28
2.59; 0.54
2.68; 1.79
2.26; 0.91
2.15; 1.51
2.01; 1.16
2.21; 0.89
2.27; 1.68
1.89; 0.43
1.87; 1.04
2.14; 1.52
2.04; 1.16
1.83; 1.47
2.17; 1.73
1.70; 1.11
2.08; 1.70
1.71; 1.37
2.05; 0.11
2.53; 1.04
2.49; 0.91
2.55; 1.58
2.38; 1.39
2.55; 1.60
2.28; 1.60
1.85; 1.80
2.36; 0.72
1.86; 1.71
2.32; 1.83
0.98; 1.28
1.10; 0.76
1.16; 1.96
0.80; 0.97
0.70; 2.28
1.35; 2.17
0.76; 0.88
1.16; 0.90
1.02; 1.55
1.16; 2.14
2.18; 1.08
2.23; 1.19
2.51; 0.54
2.23; 0.99
2.11; 1.68
2.58; 0.64
2.59; 1.42
2.28; 1.32
2.35; 0.88
2.20; 2.44
2.19; 1.53
1.92; 1.53
2.03; 0.77
1.87; 0.16
2.25; 0.77
2.33; 1.82
1.86; 1.36
1.90; 1.02
2.37; 0.89
2.10; 0.99
2.12; 0.41
2.28; 1.45
1.78; 1.47
2.12; 0.75
2.51; 1.51
1.73; 0.77
2.34; 0.64
2.62; 0.46
2.23; 1.93
2.54; 0.95
2.38; 1.80
2.23; 1.29
2.40; 0.32
2.17; 0.88
2.44; 0.75
2.32; 0.98
2.52; 1.25
2.11; 1.11
2.26; 0.91
2.63; 0.60
2.19; 1.04
2.24; 1.07
2.50; 1.56
2.22; 0.79
1.99; 0.46
2.33; 1.32
2.25; 1.57
2.45; 1.42
2.47; 1.91
2.15; 0.05
2.46; 0.61
2.31; 0.94
2.13; 0.10
2.09; 1.91
2.63; 2.08
2.23; 0.19
2.10; 1.43
2.33; 1.55
2.31; 1.21
2.52; 0.70
2.52; 0.70
2.29; 1.49
2.43; 0.70
2.69; 1.07
2.53; 0.24
2.35; 1.51
2.30; 1.82
2.38; 0.00
2.28; 1.39
2.59; 0.97
1.99; 1.42
1.95; 1.42
2.56; 1.02
2.34; 0.70
2.46; 0.82
2.54; 0.53
2.47; 0.50
2.64; 0.22
2.17; 0.88
2.64; 1.44
2.66; 1.01
2.45; 0.76
2.18; 1.56
2.62; 1.14
2.18; 0.76
2.32; 0.82
2.39; 1.33
2.30; 1.23
2.15; 0.78
2.63; 1.76
2.33; 1.27
2.31; 2.08
2.62; 0.66
2.08; 0.26
1.88; 0.55
2.29; 0.67
2.40; 0.47
2.28; 0.61
2.38; 0.78
2.39; 0.00
2.48; 1.36
2.21; 0.94
2.51; 1.12
2.46; 0.89
2.37; 1.71
2.31; 1.32
2.27; 0.54
2.38; 1.94
2.57; 1.30
2.21; 0.69
2.17; 1.35
2.48; 0.47
2.15; 0.47
2.33; 1.52
2.01; 1.01
2.27; 0.37
2.26; 1.77
2.23; 0.64
1.89; 1.84
2.43; 0.59
2.03; 1.61
2.40; 1.09
2.05; 0.70
2.04; 1.41
2.40; 1.09
2.05; 0.70
2.04; 1.41
1.99; 1.17
2.13; 1.79
2.12; 0.61
2.30; 0.16
2.28; 1.39
2.56; 0.99
2.09; 1.28
2.08; 1.57
2.33; 1.33
2.32; 1.84
2.51; 1.36
2.38; 2.37
2.48; 1.16
2.50; 1.06
2.46; 1.50
2.16; 1.53
2.02; 0.62
2.28; 1.68
2.34; 1.95
2.51; 1.41
2.41; 0.46
2.28; 0.49
2.40; 0.02
2.62; 0.87
2.44; 2.02
2.09; 0.78
2.36; 1.47
2.45; 1.23
2.17; 1.33
1.98; 1.57
2.50; 0.27
2.43; 1.58
2.58; 1.44
2.43; 0.88
2.31; 1.53
2.13; 0.78
2.61; 1.05
2.64; 1.39
2.55; 1.43
2.30; 1.35
2.46; 1.70
2.24; 1.20
2.50; 1.75
2.30; 0.65
2.20; 0.55
2.55; 0.60
2.57; 1.11
2.51; 0.86
2.28; 0.36
2.46; 0.91
2.60; 1.05
2.77; 1.86
2.69; 1.86
2.51; 0.83
2.40; 1.19
2.70; 0.80
2.22; 1.16
2.28; 1.19
2.42; 0.76
2.33; 1.19
2.52; 0.97
2.30; 1.15
2.24; 1.14
2.25; 1.09
2.45; 0.85
2.27; 1.07
2.58; 1.11
2.16; 0.83
2.39; 0.70
2.29; 1.18
2.53; 0.77
2.54; 1.31
2.13; 1.61
2.35; 1.57
2.68; 0.98
2.35; 1.12
2.44; 0.73
2.33; 0.46
2.21; 1.72
2.23; 1.01
2.49; 2.19
2.53; 1.49
2.37; 0.58
2.47; 1.83
2.13; 1.12
2.35; 1.20
1.86; 1.37
2.46; 1.85
2.52; 0.04
2.36; 0.95
2.08; 1.20
2.55; 0.50
2.56; 0.33
2.11; 1.14
2.15; 1.39
2.42; 0.90
2.25; 1.61
1.95; 1.19
2.08; 1.44
1.56; 1.41
2.36; 0.41
2.23; 1.62
2.26; 1.12
2.26; 1.18
2.33; 0.52
2.49; 1.05
2.47; 1.36
2.09; 0.80
2.01; 1.70
2.05; 0.98
1.99; 1.29
2.26; 1.29
2.47; 0.86
2.15; 0.90
1.96; 1.63
1.94; 1.50
2.28; 1.60
2.32; 1.17
2.18; 0.52
2.04; 1.07
2.28; 1.01
2.01; 1.11
2.62; 1.68
2.18; 1.48
2.37; 1.34
2.45; 0.53
2.18; 0.82
2.49; 0.91
2.55; 0.91
2.28; 0.60
2.68; 1.02
2.52; 1.00
2.44; 1.38
2.29; 0.76
2.57; 0.88
2.33; 0.82
2.27; 0.54
2.51; 1.13
2.72; 0.46
2.35; 1.83
2.18; 0.92
2.35; 0.61
2.20; 0.31
2.25; 0.41
2.25; 0.51
2.19; 1.59
2.30; 1.03
2.40; 0.86
2.16; 0.96
2.08; 1.70
2.16; 0.84
2.58; 1.52
2.53; 1.08
2.40; 1.45
2.66; 1.27
2.14; 0.84
2.14; 1.03
2.51; 1.18
2.39; 1.19
2.35; 0.63
2.12; 1.97
2.31; 1.23
2.40; 0.04
2.65; 0.73
2.22; 1.31
2.18; 1.52
2.38; 1.75
2.58; 0.63
2.35; 0.65
2.49; 1.06
2.34; 1.51
2.76; 0.72
2.59; 0.08
2.24; 0.01
2.51; 1.00
2.39; 1.05
2.50; 1.49
2.40; 1.07
2.56; 0.44
2.33; 0.62
2.56; 0.88
2.27; 0.75
2.50; 0.17
2.48; 1.16
2.48; 1.16
1.98; 1.27
2.04; 0.75
2.69; 1.24
2.06; 1.30
2.27; 0.94
2.33; 0.29
2.49; 0.25
2.39; 1.47
2.35; 1.02
2.31; 2.11
2.39; 1.47
1.98; 0.80
2.41; 1.10
2.05; 1.77
2.52; 1.05
2.29; 1.62
2.51; 1.49
2.15; 0.69
2.34; 2.57
2.70; 1.20
2.16; 0.33
2.29; 0.93
2.29; 1.13
2.31; 0.64
2.46; 1.53
2.58; 1.89
2.38; 0.55
2.21; 0.83
2.40; 2.29
2.38; 0.55
2.21; 0.83
2.40; 2.29
2.40; 1.69
2.03; 0.49
2.66; 1.00
2.11; 1.87
1.92; 0.81
2.26; 0.66
2.39; 0.46
2.25; 2.52
2.40; 1.93
2.57; 0.59
2.08; 2.00
1.92; 1.83
2.31; 0.72
2.55; 1.30
2.39; 1.15
2.04; 1.30
2.21; 2.19
1.88; 0.85
2.18; 0.80
2.22; 2.14
2.05; 1.95
1.93; 0.86
2.63; 0.36
2.07; 0.97
1.80; 0.59
1.99; 1.01
2.23; 1.43
1.73; 0.65
2.31; 1.35
2.10; 1.41
2.64; 0.58
2.63; 0.92
2.33; 2.18
1.96; 0.63
2.31; 0.89
2.31; 0.63
2.16; 1.54
2.21; 1.39
2.03; 1.10
2.26; 0.38
2.19; 2.15
2.57; 0.00
2.09; 0.00
2.29; 0.20
1.51; 1.82
1.73; 1.04
2.29; 1.39
1.85; 1.08
2.16; 1.52
2.28; 1.42
2.18; 1.14
2.35; 0.46
2.43; 1.03
2.61; 1.43
2.53; 0.96
2.65; 0.46
2.35; 0.79
2.61; 1.55
2.28; 1.42
2.45; 1.70
2.68; 2.10
 
