V1; V2
2.46; 0.52
2.55; 0.55
2.53; 0.70
2.61; 0.27
2.40; 1.59
2.25; 2.01
2.46; 1.35
2.63; 0.63
2.43; 0.30
2.61; 1.12
2.35; 1.79
2.11; 1.59
2.46; 0.30
2.44; 0.87
1.97; 0.27
2.17; 0.21
2.51; 0.54
1.98; 0.49
2.44; 1.04
2.55; 0.90
2.42; 0.52
2.59; 0.73
2.00; 0.26
2.40; 0.60
2.53; 0.99
2.21; 0.22
2.26; 1.23
2.51; 0.15
2.67; 0.44
2.15; 1.29
2.16; 1.09
2.33; 1.75
2.33; 0.92
2.15; 0.77
2.28; 1.85
2.68; 0.27
2.24; 1.51
2.27; 1.65
2.43; 1.63
2.25; 1.60
2.25; 1.68
2.57; 1.86
2.15; 0.35
2.29; 1.84
2.41; 1.67
2.44; 0.66
2.57; 0.75
2.38; 1.39
2.40; 1.88
2.51; 1.61
2.04; 0.53
2.35; 0.98
2.56; 1.78
2.65; 1.59
2.43; 0.31
1.91; 1.09
2.36; 0.91
2.09; 1.37
2.44; 1.05
2.64; 1.69
2.67; 1.00
2.24; 0.83
2.56; 0.38
2.11; 1.20
2.63; 1.63
2.42; 2.57
2.38; 0.15
2.54; 2.04
2.16; 2.34
2.56; 1.19
2.79; 1.59
2.34; 1.37
2.03; 0.88
2.37; 1.47
2.25; 2.17
2.19; 1.35
2.37; 1.33
2.40; 1.25
2.43; 0.41
2.59; 0.19
2.39; 0.78
2.43; 0.93
2.78; 1.70
2.40; 1.68
2.13; 1.79
2.45; 1.21
2.66; 1.22
2.58; 1.82
2.68; 1.62
2.57; 1.46
2.44; 0.72
2.49; 0.00
2.55; 0.78
2.12; 0.01
2.64; 1.80
2.33; 1.77
2.73; 2.20
2.49; 1.87
2.12; 1.67
2.58; 1.99
2.21; 1.75
2.36; 0.46
2.24; 0.92
2.41; 1.14
2.06; 1.29
2.02; 0.49
2.20; 0.00
2.46; 1.17
2.50; 0.49
2.00; 0.28
2.43; 0.66
2.71; 0.68
2.45; 0.00
2.63; 2.43
2.38; 1.17
2.50; 1.95
2.43; 0.55
2.49; 1.16
2.25; 0.00
2.52; 1.05
2.31; 0.91
2.09; 1.64
2.09; 0.40
2.07; 1.08
2.71; 1.62
2.67; 1.78
2.44; 1.98
2.38; 2.29
2.36; 0.48
2.30; 0.74
2.42; 1.50
2.56; 0.70
2.46; 1.03
2.29; 0.91
2.16; 0.98
2.01; 1.16
2.65; 0.96
2.60; 0.88
2.57; 0.77
2.44; 0.45
2.01; 0.91
2.75; 2.03
2.36; 1.41
2.40; 1.81
2.47; 0.29
2.49; 1.66
2.18; 0.50
1.95; 2.37
2.31; 0.41
2.08; 2.53
2.01; 1.75
2.12; 1.82
2.50; 0.43
2.61; 1.99
2.12; 1.63
1.94; 0.61
2.61; 0.85
2.23; 1.88
2.65; 1.85
2.72; 1.16
2.47; 0.93
2.54; 1.01
2.73; 0.12
2.41; 2.04
2.70; 1.39
2.55; 1.36
2.22; 0.97
2.39; 1.07
2.47; 2.22
2.73; 1.61
2.33; 1.69
2.61; 1.85
2.65; 0.98
2.36; 0.54
2.72; 0.30
2.36; 0.89
2.49; 1.77
2.11; 1.52
2.33; 0.49
1.98; 1.15
2.03; 1.30
2.36; 1.44
2.57; 0.78
2.38; 0.69
2.19; 1.55
2.33; 1.69
2.23; 1.29
2.43; 0.00
2.44; 0.61
2.64; 0.36
2.49; 1.06
2.43; 1.09
2.66; 1.46
2.55; 1.46
2.24; 0.68
2.29; 1.19
2.38; 1.10
2.44; 0.65
2.65; 0.33
2.76; 1.47
2.26; 0.63
3.30; 0.00
3.30; 0.00
3.30; 0.00
2.17; 1.69
1.59; 2.08
1.63; 0.72
1.41; 0.77
1.55; 0.83
1.17; 0.65
2.38; 0.52
2.40; 0.66
2.43; 0.46
2.50; 0.73
2.17; 1.21
3.30; 0.00
3.30; 0.00
2.52; 1.10
2.50; 1.14
2.36; 0.24
2.51; 1.14
2.46; 0.46
2.13; 1.62
2.49; 0.74
2.39; 1.43
2.28; 1.34
2.41; 1.59
2.12; 0.54
2.67; 0.37
0.85; 1.16
1.46; 2.37
1.40; 1.48
1.83; 1.75
1.89; 0.75
2.14; 0.67
1.92; 1.78
2.23; 1.61
1.78; 1.24
2.06; 0.99
2.11; 0.71
2.37; 1.12
1.74; 0.87
2.05; 1.02
2.43; 1.57
2.41; 1.78
2.51; 2.46
2.50; 1.06
2.55; 1.37
2.16; 1.21
2.28; 1.32
2.44; 1.83
2.65; 1.12
2.34; 1.20
2.69; 1.83
2.68; 1.24
2.15; 2.18
2.67; 1.08
2.30; 0.53
2.64; 0.86
2.49; 0.48
2.14; 1.44
2.42; 1.89
1.88; 0.76
2.51; 1.92
2.31; 1.45
2.37; 0.58
2.60; 0.86
0.76; 1.76
1.20; 2.30
2.17; 0.17
2.44; 1.74
2.38; 1.52
2.67; 1.44
2.35; 0.63
2.32; 1.37
2.65; 1.87
2.55; 1.69
2.72; 0.89
2.45; 1.37
2.14; 1.68
2.14; 1.75
2.28; 1.51
2.37; 1.36
2.23; 0.93
2.39; 0.95
2.66; 1.23
2.48; 0.21
2.61; 1.08
2.21; 0.85
2.25; 0.84
2.56; 1.48
2.33; 0.78
2.37; 0.12
2.32; 0.47
2.49; 1.01
2.41; 1.47
2.47; 0.95
2.79; 1.50
2.65; 0.95
2.23; 1.34
2.45; 1.12
2.55; 1.19
2.40; 1.35
2.52; 0.43
2.59; 0.89
2.49; 1.03
2.28; 0.32
2.58; 0.47
2.01; 0.00
2.55; 0.58
2.14; 0.85
2.36; 0.91
2.39; 1.11
2.73; 0.00
2.24; 2.19
2.29; 0.68
2.56; 1.15
2.18; 1.66
2.61; 1.34
2.72; 2.08
2.55; 1.17
2.17; 1.01
1.56; 1.46
0.94; 1.14
0.95; 1.28
1.88; 0.61
2.22; 0.79
2.67; 1.60
2.31; 0.30
2.43; 1.44
2.35; 1.16
2.19; 0.89
2.34; 0.59
2.20; 0.62
2.22; 1.39
2.20; 0.75
2.55; 1.67
2.49; 1.43
2.72; 1.27
2.12; 1.86
2.39; 0.44
2.70; 1.19
2.15; 0.96
2.67; 1.34
2.29; 1.80
2.46; 1.68
2.71; 0.50
2.48; 0.54
2.41; 1.92
2.62; 0.47
2.30; 0.86
2.57; 2.04
2.84; 1.22
2.75; 0.04
2.42; 0.41
2.48; 2.40
2.55; 1.25
2.18; 1.69
2.39; 0.77
2.40; 0.60
2.35; 1.65
2.53; 0.46
2.25; 0.31
2.56; 0.51
2.47; 0.81
2.37; 1.06
2.34; 0.90
2.12; 1.27
2.50; 1.10
2.39; 1.35
2.58; 1.30
2.59; 1.55
2.61; 0.98
2.31; 0.92
2.34; 0.87
2.40; 0.98
2.17; 0.21
2.55; 1.15
2.25; 1.46
2.30; 0.75
2.56; 1.56
2.53; 0.45
2.25; 0.79
2.32; 0.23
2.34; 1.21
2.26; 1.53
2.23; 0.16
2.57; 1.00
1.97; 1.18
2.46; 1.20
2.18; 1.71
2.56; 1.22
2.35; 1.62
2.70; 2.01
2.36; 1.02
2.42; 1.32
2.19; 1.67
2.52; 1.48
2.49; 0.91
2.62; 0.66
2.37; 0.74
2.72; 1.88
2.63; 1.60
2.61; 0.14
2.26; 0.21
2.72; 0.00
2.82; 1.70
2.50; 2.15
2.34; 1.26
2.42; 1.52
2.33; 1.01
2.54; 1.53
1.94; 0.33
2.37; 1.01
2.18; 1.86
2.32; 2.20
2.48; 0.53
2.50; 0.80
2.28; 0.00
2.73; 0.84
2.66; 1.44
2.40; 1.32
2.47; 0.23
2.69; 0.72
2.30; 0.49
2.06; 1.24
2.23; 1.50
2.53; 1.01
2.25; 0.34
2.31; 1.57
2.58; 0.94
2.50; 1.56
2.26; 1.26
2.46; 0.76
2.54; 0.40
2.03; 2.24
2.42; 0.85
2.29; 0.76
2.25; 0.80
2.80; 1.27
2.38; 1.32
2.38; 1.01
2.57; 1.57
2.27; 1.01
2.48; 0.71
2.51; 0.67
2.65; 1.37
2.53; 0.50
2.33; 0.75
2.64; 1.30
1.87; 1.87
2.43; 0.98
2.53; 0.49
2.08; 0.96
2.49; 0.87
2.38; 0.86
2.39; 1.35
2.08; 1.08
2.26; 0.61
2.26; 1.00
2.46; 0.30
2.36; 1.22
2.49; 1.20
2.28; 0.83
2.06; 0.92
2.52; 1.53
2.50; 0.78
2.37; 0.92
2.29; 1.20
2.57; 0.91
2.66; 0.00
2.54; 1.00
2.67; 1.13
2.65; 0.64
2.29; 0.18
2.55; 0.66
2.31; 1.27
2.14; 1.28
2.59; 1.78
2.30; 0.92
2.39; 0.75
2.16; 0.73
2.10; 1.27
2.70; 1.26
2.26; 1.06
2.13; 0.73
2.74; 0.71
2.56; 1.41
2.16; 0.13
2.38; 1.08
2.14; 1.80
2.09; 0.84
2.69; 1.16
2.20; 1.43
2.46; 0.77
2.80; 1.66
2.56; 2.05
2.41; 2.04
2.27; 1.83
2.64; 0.40
2.34; 1.26
2.60; 1.96
2.59; 1.37
2.61; 0.81
2.68; 1.59
2.71; 0.46
2.15; 0.30
2.77; 0.80
2.45; 0.80
2.20; 1.32
2.56; 1.58
2.28; 0.24
2.43; 0.84
2.16; 1.71
2.47; 0.06
2.49; 2.28
2.57; 1.72
2.54; 1.19
2.42; 1.33
2.72; 1.33
2.32; 0.37
2.38; 0.28
2.37; 1.70
2.20; 2.35
2.02; 0.78
2.00; 0.71
2.11; 1.10
1.77; 1.13
2.34; 0.95
1.88; 1.68
2.13; 1.32
2.03; 0.89
2.24; 1.12
2.63; 1.70
2.29; 0.90
2.29; 1.18
2.53; 0.00
2.44; 1.92
2.23; 1.52
2.71; 0.94
2.23; 2.19
2.05; 1.27
2.46; 1.56
2.46; 1.50
2.36; 1.95
2.53; 1.75
2.37; 0.66
2.52; 1.20
2.32; 1.16
2.30; 0.41
2.05; 1.32
2.60; 2.09
2.45; 1.48
2.69; 0.67
2.37; 1.39
2.13; 0.80
2.00; 0.65
2.53; 1.27
2.13; 0.80
2.00; 0.65
2.53; 1.27
2.13; 0.08
2.42; 0.73
2.42; 0.34
2.20; 1.35
2.39; 1.39
2.21; 0.19
2.57; 1.05
2.21; 0.67
2.29; 1.39
2.29; 0.39
2.78; 0.00
2.69; 0.88
2.36; 1.34
2.31; 1.21
2.34; 1.75
1.97; 1.14
2.60; 0.46
2.23; 1.12
2.61; 1.06
2.34; 1.18
2.40; 0.29
2.03; 1.08
2.61; 0.98
2.37; 0.38
2.56; 0.87
1.99; 1.94
2.36; 0.90
2.13; 2.13
2.68; 0.38
2.09; 1.32
2.33; 0.93
2.63; 1.15
2.37; 0.92
2.03; 2.04
2.43; 1.45
2.71; 1.71
2.54; 0.98
2.26; 0.62
2.39; 1.42
2.75; 0.59
2.49; 1.32
3.30; 0.00
3.30; 0.00
3.30; 0.00
1.95; 1.85
2.27; 1.11
2.59; 1.33
2.76; 1.44
2.22; 1.86
2.05; 1.16
2.62; 1.06
2.29; 1.21
