=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.30 14:27:45 =~=~=~=~=~=~=~=~=~=~=~=
meanV1, meanV2, meanRatio, stdV1, stdV2, stdRatio, Elevation
1037,2.743,4.156,0.327,0.020,0.028,0.003,58.96
1047,2.736,4.140,0.327,0.021,0.027,0.004,58.93
1057,2.734,4.130,0.328,0.025,0.032,0.004,58.91
1067,2.731,4.121,0.328,0.025,0.034,0.004,58.89
1077,2.725,4.106,0.329,0.022,0.028,0.004,58.86
1087,2.737,4.116,0.329,0.040,0.051,0.004,58.84
1097,2.723,4.087,0.330,0.014,0.016,0.004,58.82
1107,2.714,4.067,0.330,0.020,0.023,0.004,58.80
1117,2.718,4.067,0.331,0.031,0.041,0.004,58.77
1127,2.722,4.067,0.331,0.032,0.042,0.004,58.75
1138,2.703,4.034,0.332,0.014,0.020,0.004,58.73
1148,2.719,4.054,0.332,0.043,0.061,0.004,58.70
1158,2.721,4.053,0.332,0.030,0.040,0.004,58.68
1168,2.724,4.056,0.333,0.031,0.044,0.004,58.65
1178,2.724,4.053,0.333,0.027,0.038,0.004,58.63
1188,2.723,4.048,0.333,0.027,0.037,0.004,58.61
1198,2.716,4.037,0.333,0.021,0.030,0.003,58.58
1208,2.704,4.018,0.333,0.015,0.022,0.003,58.56
1218,2.694,4.001,0.333,0.018,0.025,0.004,58.54
1228,2.697,4.005,0.333,0.031,0.045,0.003,58.51
1238,2.701,4.008,0.334,0.031,0.043,0.004,58.49
1248,2.706,4.016,0.334,0.033,0.049,0.003,58.47
1258,2.714,4.028,0.334,0.036,0.053,0.003,58.45
1268,2.721,4.038,0.334,0.034,0.051,0.003,58.42
1278,2.726,4.045,0.334,0.033,0.049,0.003,58.40
1288,2.721,4.041,0.333,0.023,0.038,0.003,58.38
1299,2.709,4.020,0.334,0.016,0.021,0.004,58.35
1309,2.712,4.024,0.334,0.030,0.045,0.003,58.33
1319,2.721,4.037,0.334,0.037,0.054,0.003,58.30
1329,2.726,4.040,0.334,0.032,0.044,0.004,58.28
1339,2.722,4.034,0.334,0.024,0.036,0.003,58.26
1349,2.710,4.016,0.334,0.016,0.023,0.004,58.23
1359,2.705,4.008,0.334,0.022,0.033,0.003,58.21
1369,2.699,3.997,0.334,0.021,0.030,0.004,58.19
1379,2.697,3.995,0.334,0.027,0.039,0.003,58.16
1389,2.671,3.955,0.334,0.007,0.012,0.003,58.14
1399,2.666,3.947,0.334,0.022,0.032,0.003,58.11
1409,2.655,3.929,0.335,0.016,0.022,0.004,58.09
1419,2.653,3.928,0.334,0.025,0.039,0.003,58.07
1429,2.655,3.934,0.334,0.030,0.047,0.003,58.04
1439,2.652,3.931,0.334,0.025,0.038,0.003,58.02
1449,2.641,3.920,0.333,0.015,0.029,0.003,58.00
1459,2.636,3.917,0.333,0.023,0.037,0.003,57.97
1470,2.671,3.951,0.335,0.070,0.080,0.005,57.95
1480,2.818,4.147,0.336,0.202,0.278,0.005,57.92
1490,2.809,4.141,0.336,0.020,0.037,0.003,57.90
1500,2.803,4.139,0.335,0.025,0.043,0.003,57.88
1510,2.779,4.108,0.335,0.007,0.014,0.003,57.85
1520,2.789,4.132,0.334,0.039,0.065,0.003,57.83
1530,2.779,4.121,0.334,0.018,0.031,0.003,57.81
1540,2.767,4.109,0.333,0.016,0.030,0.003,57.78
