Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2980E+03 .5581E+00 .2749E-06 .6244E-05 .6338E-05 .9402E-07 .2749E-06 .4268E-05 .4543E-05 .2749E-06 .6244E-05 .2346E-06
.2985E+03 .3790E+00 .3580E-06 .6267E-05 .6389E-05 .1224E-06 .3580E-06 .4284E-05 .4642E-05 .3580E-06 .6267E-05 .2375E-06
.2990E+03 .5771E+00 .1002E-05 .1385E-04 .1419E-04 .3428E-06 .1002E-05 .9469E-05 .1047E-04 .1002E-05 .1385E-04 .5297E-06
.2995E+03 .5217E+00 .2432E-05 .2357E-04 .2440E-04 .8318E-06 .2432E-05 .1612E-04 .1855E-04 .2432E-05 .2357E-04 .9159E-06
.3000E+03 .4169E+00 .3118E-05 .2564E-04 .2671E-04 .1067E-05 .3118E-05 .1754E-04 .2066E-04 .3118E-05 .2564E-04 .1007E-05
.3005E+03 .4394E+00 .5432E-05 .3792E-04 .3977E-04 .1858E-05 .5432E-05 .2595E-04 .3138E-04 .5432E-05 .3792E-04 .1526E-05
.3010E+03 .4942E+00 .1262E-04 .7169E-04 .7601E-04 .4316E-05 .1262E-04 .4910E-04 .6172E-04 .1262E-04 .7169E-04 .2972E-05
.3015E+03 .5298E+00 .2430E-04 .1145E-03 .1228E-03 .8311E-05 .2430E-04 .7847E-04 .1028E-03 .2430E-04 .1145E-03 .4891E-05
.3020E+03 .3745E+00 .2273E-04 .9499E-04 .1028E-03 .7773E-05 .2273E-04 .6513E-04 .8786E-04 .2273E-04 .9499E-04 .4164E-05
.3025E+03 .5441E+00 .5474E-04 .1864E-03 .2052E-03 .1872E-04 .5474E-04 .1279E-03 .1826E-03 .5474E-04 .1864E-03 .8369E-05
.3030E+03 .6771E+00 .1262E-03 .3480E-03 .3912E-03 .4316E-04 .1262E-03 .2389E-03 .3651E-03 .1262E-03 .3480E-03 .1608E-04
.3035E+03 .6891E+00 .1819E-03 .4716E-03 .5338E-03 .6220E-04 .1819E-03 .3238E-03 .5057E-03 .1819E-03 .4716E-03 .2203E-04
.3040E+03 .5775E+00 .1808E-03 .4528E-03 .5146E-03 .6183E-04 .1808E-03 .3109E-03 .4917E-03 .1808E-03 .4528E-03 .2130E-04
.3045E+03 .6485E+00 .3058E-03 .7252E-03 .8298E-03 .1046E-03 .3058E-03 .4981E-03 .8039E-03 .3058E-03 .7252E-03 .3442E-04
