241.80,54.92
241.85,54.90
241.90,54.87
241.95,54.85
242.00,54.82
242.05,54.79
242.10,54.77
242.14,54.74
242.19,54.72
242.24,54.69
242.29,54.67
242.34,54.64
242.39,54.61
242.44,54.59
242.49,54.56
242.54,54.54
242.59,54.51
242.63,54.49
242.68,54.46
242.73,54.43
242.78,54.41
242.83,54.38
242.88,54.36
242.92,54.33
242.97,54.30
243.02,54.28
243.07,54.25
243.12,54.23
243.16,54.20
243.21,54.18
243.26,54.15
243.31,54.12
243.36,54.10
243.40,54.07
243.45,54.05
243.50,54.02
243.55,53.99
243.59,53.97
243.64,53.94
243.69,53.92
243.74,53.89
243.78,53.86
243.83,53.84
243.88,53.81
243.93,53.79
243.97,53.76
244.02,53.73
244.07,53.71
244.12,53.68
244.16,53.66
244.21,53.63
244.26,53.60
244.30,53.58
244.35,53.55
244.40,53.52
244.44,53.50
244.49,53.47
244.54,53.45
244.59,53.42
244.63,53.39
244.68,53.37
244.72,53.34
244.77,53.31
244.82,53.29
244.86,53.26
244.91,53.24
244.96,53.21
245.00,53.18
245.05,53.16
245.09,53.13
245.14,53.10
245.19,53.08
245.23,53.05
245.28,53.02
245.33,53.00
245.37,52.97
245.42,52.95
245.46,52.92
245.51,52.89
245.55,52.87
245.60,52.84
245.65,52.81
245.69,52.79
245.74,52.76
245.78,52.74
245.83,52.71
245.87,52.68
245.92,52.66
245.96,52.63
246.01,52.60
246.05,52.58
246.10,52.55
246.14,52.52
246.19,52.50
246.24,52.47
246.28,52.44
246.33,52.42
246.37,52.39
246.42,52.36
246.46,52.34
246.51,52.31
246.55,52.28
246.59,52.26
246.64,52.23
246.68,52.20
246.73,52.18
246.77,52.15
246.82,52.12
246.86,52.10
246.91,52.07
246.95,52.04
247.00,52.02
247.04,51.99
247.09,51.96
247.13,51.94
247.17,51.91
247.22,51.88
247.26,51.86
247.31,51.83
247.35,51.80
247.39,51.78
247.44,51.75
247.48,51.72
247.53,51.69
247.57,51.67
247.61,51.64
247.66,51.62
247.70,51.59
247.74,51.56
247.79,51.53
247.83,51.51
247.88,51.48
247.92,51.45
247.96,51.43
248.01,51.40
248.05,51.37
248.09,51.35
248.14,51.32
248.18,51.29
248.22,51.26
248.27,51.24
248.31,51.21
248.35,51.18
248.40,51.16
248.44,51.13
248.48,51.10
248.53,51.08
248.57,51.05
248.61,51.02
248.65,50.99
248.70,50.97
248.74,50.94
248.78,50.91
248.83,50.89
248.87,50.86
248.91,50.83
248.95,50.81
249.00,50.78
249.04,50.75
249.08,50.72
249.12,50.70
249.17,50.67
249.21,50.64
249.25,50.62
249.29,50.59
249.34,50.56
249.38,50.53
249.42,50.51
249.46,50.48
249.50,50.45
249.55,50.43
249.59,50.40
249.63,50.37
249.67,50.34
249.71,50.32
249.76,50.29
249.80,50.26
249.84,50.23
249.88,50.21
249.93,50.18
249.97,50.15
250.01,50.13
250.05,50.10
250.09,50.07
250.13,50.04
250.18,50.02
250.22,49.99
250.26,49.96
250.30,49.93
250.34,49.91
250.38,49.88
250.42,49.85
250.47,49.82
250.51,49.80
250.55,49.77
250.59,49.74
250.63,49.72
250.67,49.69
250.71,49.66
250.75,49.63
250.80,49.61
250.84,49.58
250.88,49.55
250.92,49.52
250.96,49.50
251.00,49.47
251.04,49.44
251.08,49.41
251.12,49.39
251.16,49.36
251.21,49.33
251.25,49.30
251.29,49.28
251.33,49.25
251.37,49.22
251.41,49.19
251.45,49.17
251.49,49.14
251.53,49.11
251.57,49.08
251.61,49.06
251.65,49.03
251.69,49.00
251.73,48.97
251.77,48.95
251.81,48.92
251.85,48.89
251.89,48.86
251.93,48.84
251.97,48.81
252.01,48.78
252.06,48.75
252.10,48.72
252.14,48.69
252.18,48.67
252.22,48.64
252.26,48.61
252.30,48.58
