0	0	0	0.34	1.07	1.59
1	0	0	0.33	1.07	1.59
2	0	0	0.34	1.07	1.59
3	0	0	0.34	1.07	1.59
4	0	0	0.34	1.07	1.59
5	0	0	0.34	1.07	1.59
6	0	0	0.33	1.07	1.60
7	0	0	0.34	1.08	1.59
8	0	0	0.33	1.07	1.60
9	146.71	64.61	0.34	1.08	1.60
10	0	0	0.34	1.08	1.60
11	0	0	0.34	1.08	1.60
12	0	0	0.34	1.08	1.60
13	0	0	0.34	1.08	1.60
14	0	0	0.34	1.08	1.60
15	0	0	0.34	1.08	1.60
16	0	0	0.34	1.08	1.60
17	0	0	0.33	1.07	1.60
18	0	0	0.34	1.08	1.60
19	146.79	64.62	0.34	1.08	1.60
20	0	0	0.34	1.08	1.60
21	0	0	0.34	1.08	1.60
22	0	0	0.33	1.07	1.60
23	0	0	0.34	1.08	1.60
24	0	0	0.34	1.08	1.60
25	0	0	0.34	1.08	1.60
26	0	0	0.33	1.07	1.60
27	0	0	0.34	1.08	1.60
28	0	0	0.34	1.08	1.60
29	146.87	64.64	0.34	1.08	1.60
30	0	0	0.34	1.08	1.60
31	0	0	0.34	1.08	1.60
32	0	0	0.34	1.08	1.60
33	0	0	0.34	1.08	1.60
34	0	0	0.34	1.08	1.60
35	0	0	0.34	1.08	1.61
36	0	0	0.34	1.08	1.60
37	0	0	0.34	1.08	1.61
38	0	0	0.33	1.08	1.61
39	146.95	64.66	0.33	1.08	1.61
40	0	0	0.34	1.09	1.61
41	0	0	0.34	1.09	1.61
42	0	0	0.34	1.09	1.62
43	0	0	0.34	1.09	1.61
44	0	0	0.34	1.09	1.62
45	0	0	0.34	1.09	1.62
46	0	0	0.34	1.09	1.62
47	0	0	0.34	1.09	1.62
48	0	0	0.34	1.09	1.61
49	147.03	64.67	0.34	1.09	1.62
50	0	0	0.34	1.09	1.61
51	0	0	0.34	1.08	1.61
52	0	0	0.34	1.09	1.61
53	0	0	0.34	1.09	1.61
54	0	0	0.34	1.09	1.61
55	0	0	0.34	1.09	1.61
56	0	0	0.33	1.08	1.61
57	0	0	0.33	1.08	1.61
58	0	0	0.33	1.08	1.61
59	147.11	64.69	0.34	1.08	1.61
60	0	0	0.34	1.08	1.61
61	0	0	0.34	1.08	1.60
62	0	0	0.34	1.08	1.60
63	0	0	0.34	1.08	1.60
64	0	0	0.34	1.08	1.60
65	0	0	0.34	1.08	1.60
66	0	0	0.34	1.08	1.60
67	0	0	0.34	1.08	1.60
68	0	0	0.34	1.08	1.60
69	147.19	64.70	0.34	1.08	1.60
70	0	0	0.34	1.08	1.60
71	0	0	0.34	1.08	1.60
72	0	0	0.34	1.08	1.60
73	0	0	0.34	1.08	1.60
74	0	0	0.34	1.08	1.60
75	0	0	0.34	1.08	1.61
76	0	0	0.34	1.08	1.60
77	0	0	0.34	1.08	1.61
78	0	0	0.34	1.08	1.61
79	147.27	64.72	0.34	1.08	1.61
80	0	0	0.34	1.08	1.61
81	0	0	0.34	1.09	1.61
82	0	0	0.34	1.08	1.61
83	0	0	0.34	1.09	1.61
84	0	0	0.34	1.09	1.62
85	0	0	0.34	1.09	1.61
86	0	0	0.34	1.09	1.62
87	0	0	0.34	1.09	1.62
88	0	0	0.34	1.09	1.62
89	147.36	64.74	0.34	1.09	1.63
90	0	0	0.33	1.09	1.63
91	0	0	0.34	1.09	1.62
92	0	0	0.34	1.09	1.63
93	0	0	0.34	1.09	1.63
94	0	0	0.34	1.10	1.63
95	0	0	0.34	1.09	1.63
96	0	0	0.34	1.09	1.63
97	0	0	0.34	1.09	1.63
98	0	0	0.34	1.09	1.63
99	147.44	64.75	0.34	1.10	1.63
100	0	0	0.33	1.09	1.64
101	0	0	0.34	1.10	1.64
102	0	0	0.33	1.10	1.64
103	0	0	0.34	1.10	1.64
104	0	0	0.34	1.10	1.64
105	0	0	0.34	1.10	1.64
106	0	0	0.34	1.10	1.64
107	0	0	0.34	1.10	1.64
108	0	0	0.34	1.10	1.63
109	147.52	64.77	0.34	1.10	1.63
110	0	0	0.34	1.10	1.63
111	0	0	0.34	1.09	1.63
112	0	0	0.34	1.10	1.63
113	0	0	0.34	1.09	1.63
114	0	0	0.34	1.09	1.63
115	0	0	0.34	1.09	1.63
116	0	0	0.34	1.09	1.63
117	0	0	0.34	1.10	1.63
118	0	0	0.34	1.10	1.64
119	147.60	64.78	0.34	1.09	1.63
120	0	0	0.34	1.10	1.63
121	0	0	0.34	1.09	1.63
122	0	0	0.33	1.09	1.64
123	0	0	0.34	1.10	1.63
124	0	0	0.34	1.09	1.63
125	0	0	0.34	1.10	1.63
126	0	0	0.34	1.10	1.63
127	0	0	0.34	1.09	1.63
128	0	0	0.34	1.10	1.64
129	147.68	64.80	0.34	1.10	1.64
130	0	0	0.33	1.09	1.64
131	0	0	0.34	1.10	1.63
132	0	0	0.34	1.10	1.64
133	0	0	0.34	1.10	1.64
134	0	0	0.34	1.10	1.64
135	0	0	0.34	1.10	1.65
136	0	0	0.34	1.10	1.64
137	0	0	0.34	1.10	1.65
138	0	0	0.34	1.10	1.64
139	147.77	64.81	0.33	1.10	1.64
140	0	0	0.34	1.10	1.64
141	0	0	0.33	1.10	1.64
142	0	0	0.34	1.10	1.64
143	0	0	0.34	1.10	1.64
144	0	0	0.33	1.09	1.64
145	0	0	0.34	1.10	1.64
146	0	0	0.33	1.09	1.64
147	0	0	0.33	1.10	1.64
148	0	0	0.33	1.10	1.64
149	147.85	64.83	0.33	1.10	1.64
150	0	0	0.34	1.10	1.64
151	0	0	0.34	1.10	1.64
152	0	0	0.34	1.10	1.64
153	0	0	0.34	1.09	1.63
154	0	0	0.33	1.09	1.63
155	0	0	0.33	1.09	1.63
156	0	0	0.34	1.09	1.62
157	0	0	0.33	1.08	1.61
158	0	0	0.33	1.08	1.61
159	147.93	64.84	0.33	1.08	1.61
160	0	0	0.33	1.08	1.61
161	0	0	0.33	1.07	1.61
162	0	0	0.33	1.08	1.61
163	0	0	0.33	1.08	1.61
164	0	0	0.33	1.08	1.62
165	0	0	0.33	1.08	1.62
166	0	0	0.34	1.09	1.62
167	0	0	0.33	1.08	1.62
168	0	0	0.33	1.09	1.62
169	148.01	64.86	0.33	1.08	1.62
170	0	0	0.33	1.09	1.62
171	0	0	0.33	1.09	1.62
172	0	0	0.33	1.09	1.63
173	0	0	0.33	1.09	1.63
174	0	0	0.33	1.09	1.63
175	0	0	0.33	1.09	1.64
176	0	0	0.33	1.09	1.64
177	0	0	0.33	1.09	1.64
178	0	0	0.33	1.09	1.64
179	148.09	64.87	0.33	1.09	1.64
180	0	0	0.33	1.09	1.63
181	0	0	0.33	1.09	1.63
182	0	0	0.33	1.09	1.63
183	0	0	0.33	1.08	1.62
184	0	0	0.33	1.08	1.62
185	0	0	0.33	1.08	1.62
186	0	0	0.33	1.08	1.62
187	0	0	0.33	1.08	1.62
188	0	0	0.33	1.08	1.62
