5,0.084,0.041,1.024,0.002,0.002,0.064
7,0.084,0.040,1.045,0.001,0.002,0.058
9,0.084,0.041,1.024,0.002,0.003,0.061
11,0.084,0.041,1.035,0.002,0.002,0.046
13,0.084,0.042,0.998,0.001,0.003,0.073
15,0.084,0.042,1.004,0.001,0.002,0.068
17,0.083,0.040,1.036,0.001,0.003,0.063
19,0.084,0.041,1.033,0.001,0.002,0.061
21,0.084,0.041,1.016,0.001,0.003,0.069
23,0.083,0.042,0.986,0.000,0.003,0.064
25,0.083,0.040,1.033,0.000,0.003,0.070
27,0.083,0.042,1.007,0.001,0.003,0.069
29,0.083,0.041,1.021,0.000,0.002,0.058
31,0.083,0.040,1.048,0.001,0.002,0.045
33,0.083,0.040,1.039,0.000,0.002,0.048
35,0.083,0.040,1.051,0.000,0.002,0.037
37,0.083,0.041,1.021,0.000,0.003,0.064
39,0.083,0.041,1.012,0.001,0.002,0.058
41,0.083,0.041,1.027,0.000,0.002,0.056
44,0.083,0.041,1.021,0.000,0.002,0.057
46,0.083,0.040,1.027,0.002,0.002,0.057
48,0.083,0.041,1.013,0.001,0.003,0.064
50,0.082,0.042,0.989,0.002,0.003,0.063
52,0.083,0.040,1.027,0.002,0.003,0.067
54,0.083,0.041,1.015,0.001,0.002,0.062
56,0.083,0.040,1.030,0.001,0.002,0.053
58,0.083,0.040,1.033,0.000,0.002,0.051
60,0.083,0.040,1.045,0.000,0.002,0.044
62,0.083,0.040,1.033,0.000,0.002,0.052
64,0.082,0.040,1.030,0.002,0.002,0.048
66,0.083,0.040,1.027,0.001,0.002,0.051
68,0.083,0.040,1.033,0.000,0.002,0.052
70,0.083,0.040,1.033,0.000,0.002,0.051
72,0.083,0.040,1.045,0.000,0.002,0.044
74,0.083,0.040,1.039,0.002,0.002,0.051
76,0.082,0.040,1.030,0.002,0.002,0.049
78,0.083,0.041,1.018,0.001,0.002,0.062
80,0.083,0.041,1.027,0.000,0.002,0.055
82,0.083,0.040,1.033,0.002,0.002,0.048
84,0.083,0.040,1.033,0.001,0.002,0.054
86,0.083,0.040,1.042,0.001,0.002,0.051
88,0.082,0.041,1.007,0.002,0.003,0.076
91,0.083,0.041,1.009,0.002,0.002,0.061
93,0.083,0.040,1.039,0.001,0.002,0.053
95,0.082,0.040,1.020,0.002,0.002,0.053
97,0.083,0.040,1.033,0.001,0.002,0.053
99,0.083,0.040,1.039,0.000,0.002,0.048
101,0.082,0.039,1.047,0.002,0.001,0.033
103,0.082,0.039,1.047,0.002,0.001,0.032
105,0.083,0.040,1.027,0.001,0.002,0.055
107,0.082,0.039,1.044,0.002,0.001,0.046
109,0.083,0.039,1.057,0.001,0.001,0.028
111,0.082,0.041,1.018,0.002,0.003,0.070
113,0.082,0.040,1.015,0.002,0.002,0.060
115,0.082,0.040,1.030,0.002,0.002,0.053
117,0.082,0.041,1.002,0.002,0.003,0.056
119,0.082,0.040,1.015,0.002,0.002,0.056
121,0.081,0.040,1.026,0.002,0.002,0.055
123,0.082,0.040,1.032,0.002,0.001,0.048
125,0.080,0.040,1.000,0.003,0.002,0.068
127,0.081,0.040,1.017,0.002,0.002,0.052
129,0.082,0.041,1.018,0.002,0.002,0.058
131,0.082,0.040,1.032,0.002,0.002,0.043
133,0.082,0.039,1.044,0.002,0.001,0.036
135,0.081,0.039,1.031,0.003,0.000,0.034
138,0.082,0.039,1.041,0.002,0.001,0.036
140,0.081,0.040,1.017,0.002,0.002,0.057
142,0.082,0.040,1.032,0.002,0.002,0.043
144,0.082,0.039,1.047,0.002,0.000,0.031
146,0.082,0.040,1.041,0.002,0.002,0.040
148,0.083,0.040,1.048,0.001,0.001,0.045
150,0.082,0.040,1.026,0.002,0.002,0.052
152,0.082,0.040,1.033,0.002,0.002,0.051
154,0.082,0.040,1.030,0.002,0.002,0.048
156,0.082,0.040,1.024,0.002,0.002,0.054
158,0.082,0.040,1.030,0.002,0.002,0.060
160,0.083,0.041,1.009,0.001,0.003,0.065
162,0.083,0.040,1.027,0.001,0.002,0.060
164,0.083,0.041,1.012,0.001,0.003,0.059
166,0.083,0.041,1.024,0.001,0.002,0.055
168,0.083,0.040,1.042,0.001,0.002,0.047
170,0.083,0.040,1.039,0.001,0.002,0.044
172,0.083,0.040,1.045,0.000,0.002,0.043
174,0.083,0.041,1.021,0.000,0.003,0.061
176,0.083,0.040,1.042,0.001,0.002,0.048
178,0.083,0.040,1.036,0.001,0.002,0.054
180,0.083,0.041,1.009,0.000,0.003,0.065
182,0.083,0.040,1.039,0.000,0.002,0.056
185,0.083,0.041,1.021,0.000,0.002,0.059
187,0.083,0.040,1.033,0.000,0.002,0.052
189,0.084,0.041,1.033,0.002,0.002,0.061
191,0.083,0.040,1.033,0.000,0.002,0.051
193,0.083,0.041,1.018,0.001,0.002,0.058
195,0.083,0.041,1.027,0.000,0.002,0.055
