3,5.000,5.000,0.500,4.750,4.750,0.475
5,5.000,5.000,0.500,0.000,0.000,0.000
7,5.000,5.000,0.500,0.000,0.000,0.000
9,5.000,5.000,0.500,0.000,0.000,0.000
El: -64.13
11,5.000,5.000,0.500,0.000,0.000,0.000
13,5.000,5.000,0.500,0.000,0.000,0.000
15,5.000,5.000,0.500,0.000,0.000,0.000
17,5.000,5.000,0.500,0.000,0.000,0.000
19,5.000,5.000,0.500,0.000,0.000,0.000
El: -64.11
21,5.000,5.000,0.500,0.000,0.000,0.000
23,5.000,5.000,0.500,0.000,0.000,0.000
25,3.741,3.375,0.708,1.951,2.569,0.335
27,1.912,0.924,1.034,1.829,2.451,0.326
29,1.916,0.930,1.030,0.011,0.011,0.006
El: -64.09
31,1.962,0.953,1.029,0.048,0.024,0.003
33,1.975,0.960,1.028,0.014,0.008,0.003
35,1.976,0.959,1.030,0.003,0.002,0.003
37,1.974,0.959,1.029,0.003,0.002,0.002
39,1.972,0.959,1.028,0.011,0.005,0.003
El: -64.08
41,1.974,0.959,1.029,0.004,0.003,0.003
44,1.976,0.960,1.029,0.004,0.003,0.003
46,1.976,0.961,1.028,0.003,0.003,0.002
48,1.979,0.961,1.030,0.003,0.002,0.003
50,1.981,0.963,1.028,0.003,0.003,0.003
El: -64.06
52,1.984,0.964,1.029,0.003,0.002,0.002
54,1.986,0.966,1.028,0.003,0.003,0.003
56,1.988,0.968,1.027,0.003,0.002,0.001
58,1.990,0.968,1.028,0.002,0.000,0.001
60,1.991,0.969,1.028,0.003,0.002,0.003
El: -64.05
62,1.993,0.969,1.028,0.003,0.002,0.003
64,1.995,0.971,1.027,0.003,0.003,0.002
66,1.997,0.973,1.026,0.003,0.001,0.001
68,1.999,0.974,1.026,0.003,0.003,0.003
70,2.001,0.975,1.026,0.003,0.003,0.002
El: -64.03
72,2.004,0.978,1.025,0.003,0.003,0.002
74,2.004,0.978,1.024,0.002,0.002,0.002
76,2.004,0.978,1.024,0.002,0.002,0.002
78,2.001,0.978,1.023,0.004,0.000,0.002
80,1.991,0.974,1.022,0.010,0.004,0.002
El: -64.01
82,1.978,0.969,1.021,0.015,0.006,0.002
84,1.955,0.957,1.021,0.024,0.012,0.003
86,1.950,0.956,1.020,0.007,0.003,0.002
88,1.949,0.955,1.020,0.005,0.003,0.002
91,1.934,0.947,1.021,0.015,0.008,0.002
El: -64.00
93,1.902,0.931,1.022,0.035,0.018,0.002
95,1.850,0.903,1.024,0.054,0.029,0.003
97,1.823,0.889,1.025,0.029,0.015,0.002
99,1.794,0.874,1.027,0.029,0.016,0.004
El: -63.98
101,1.778,0.865,1.028,0.019,0.011,0.003
103,1.757,0.854,1.029,0.021,0.011,0.003
105,1.753,0.852,1.029,0.005,0.003,0.003
107,1.749,0.850,1.029,0.008,0.005,0.003
109,1.724,0.836,1.032,0.026,0.015,0.004
El: -63.96
111,1.714,0.830,1.033,0.011,0.006,0.003
113,1.721,0.832,1.034,0.008,0.003,0.004
115,1.738,0.842,1.032,0.018,0.011,0.003
117,1.756,0.852,1.030,0.019,0.011,0.003
119,1.769,0.860,1.029,0.014,0.009,0.004
El: -63.95
121,1.802,0.877,1.028,0.035,0.018,0.002
123,1.821,0.887,1.026,0.019,0.011,0.003
125,1.831,0.892,1.026,0.019,0.010,0.002
