Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2800E+03 .7851E-01 .2826E-17 .7966E-18 .3244E-17 .2447E-17 .2826E-17 .7495E-18 .3575E-17 .2826E-17 .7966E-18 .9329E-19
.2805E+03 .1024E+00 .3982E-16 .1054E-16 .4503E-16 .3449E-16 .3982E-16 .9922E-17 .4974E-16 .3982E-16 .1054E-16 .1296E-17
.2810E+03 .1717E+00 .1678E-15 .4224E-16 .1876E-15 .1453E-15 .1678E-15 .3977E-16 .2076E-15 .1678E-15 .4224E-16 .5404E-17
.2815E+03 .2412E+00 .2351E-14 .5553E-15 .2591E-14 .2036E-14 .2351E-14 .5232E-15 .2874E-14 .2351E-14 .5553E-15 .7471E-16
.2820E+03 .2918E+00 .1194E-13 .2670E-14 .1301E-13 .1034E-13 .1194E-13 .2516E-14 .1446E-13 .1194E-13 .2670E-14 .3756E-15
.2825E+03 .3144E+00 .3378E-13 .7172E-14 .3642E-13 .2925E-13 .3378E-13 .6762E-14 .4054E-13 .3378E-13 .7172E-14 .1053E-14
.2830E+03 .3431E+00 .1064E-12 .2140E-13 .1135E-12 .9213E-13 .1064E-12 .2019E-13 .1266E-12 .1064E-12 .2140E-13 .3285E-14
.2835E+03 .3225E+00 .1691E-12 .3235E-13 .1788E-12 .1465E-12 .1691E-12 .3054E-13 .1996E-12 .1691E-12 .3235E-13 .5181E-14
.2840E+03 .3213E+00 .1832E-11 .7561E-12 .2342E-11 .1586E-11 .1832E-11 .7101E-12 .2542E-11 .1832E-11 .7561E-12 .7011E-13
.2845E+03 .2516E+00 .4416E-11 .1936E-11 .5760E-11 .3824E-11 .4416E-11 .1818E-11 .6234E-11 .4416E-11 .1936E-11 .1734E-12
.2850E+03 .1186E+00 .6882E-11 .3265E-11 .9226E-11 .5960E-11 .6882E-11 .3065E-11 .9948E-11 .6882E-11 .3265E-11 .2795E-12
