COLUMN_1 COLUMN_2 COLUMN_3 COLUMN_4 COLUMN_5 COLUMN_6 COLUMN_7 COLUMN_8 COLUMN_9 COLUMN_10 COLUMN_11 COLUMN_12
213.660 7.45773E-19 8.25548E-19 8.04233E-19 7.85489E-19 8.55515E-19 7.81646E-19 8.48434E-19 8.09093E-19 7.94941E-19 7.92343E-19 8.79175E-19
213.670 7.34013E-19 8.40901E-19 8.04526E-19 7.99403E-19 8.32985E-19 8.81936E-19 8.25719E-19 7.82087E-19 9.04449E-19 8.13056E-19 8.73629E-19
213.680 8.28405E-19 8.16331E-19 8.14634E-19 8.32366E-19 8.20196E-19 8.27544E-19 9.27631E-19 6.84667E-19 9.04587E-19 8.27214E-19 9.18816E-19
213.690 7.71889E-19 8.65978E-19 8.86741E-19 7.63904E-19 8.35445E-19 7.91973E-19 9.27586E-19 6.84516E-19 8.88582E-19 7.98630E-19 9.22853E-19
213.700 7.71552E-19 8.65998E-19 8.16802E-19 8.13061E-19 8.59945E-19 7.44066E-19 8.49572E-19 7.57988E-19 8.61127E-19 8.11322E-19 8.87585E-19
213.710 7.93283E-19 8.47345E-19 8.28278E-19 7.67127E-19 8.14768E-19 7.49509E-19 8.28172E-19 7.69797E-19 8.63087E-19 8.23217E-19 8.68841E-19
213.720 7.67208E-19 8.99527E-19 8.21192E-19 8.81223E-19 8.03973E-19 7.75116E-19 7.97517E-19 8.32438E-19 8.30212E-19 8.30113E-19 8.55156E-19
213.730 7.37043E-19 8.56511E-19 9.01890E-19 8.74259E-19 8.00558E-19 7.77272E-19 7.74399E-19 8.89019E-19 9.33107E-19 8.48880E-19 8.72143E-19
213.740 7.11391E-19 8.21365E-19 8.91250E-19 8.08385E-19 8.33815E-19 7.76353E-19 8.32618E-19 7.48946E-19 8.75609E-19 8.25190E-19 8.82003E-19
213.750 7.66004E-19 8.29968E-19 8.58773E-19 8.35563E-19 9.20031E-19 7.65168E-19 8.24269E-19 7.50150E-19 9.42298E-19 8.48283E-19 8.65811E-19
213.760 7.85576E-19 8.58519E-19 8.80581E-19 8.32391E-19 8.71680E-19 7.67039E-19 8.13675E-19 7.92628E-19 8.49055E-19 8.83041E-19 8.53334E-19
213.770 7.66914E-19 8.36945E-19 7.80569E-19 7.95843E-19 8.94669E-19 7.98046E-19 8.48017E-19 8.16592E-19 8.62119E-19 8.94342E-19 8.67902E-19
213.780 7.34555E-19 8.40513E-19 7.86190E-19 8.70790E-19 8.74408E-19 8.05944E-19 8.79213E-19 7.72686E-19 8.75572E-19 8.69829E-19 8.71426E-19
