Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2800E+03 .7851E-01 .5990E-21 .4987E-19 .5030E-19 .4236E-21 .5990E-21 .4281E-19 .4341E-19 .5990E-21 .4987E-19 .1672E-20
.2805E+03 .1024E+00 .1437E-19 .4804E-18 .4906E-18 .1016E-19 .1437E-19 .4125E-18 .4269E-18 .1437E-19 .4804E-18 .1634E-19
.2810E+03 .1717E+00 .7438E-19 .1865E-17 .1918E-17 .5259E-19 .7438E-19 .1602E-17 .1676E-17 .7438E-19 .1865E-17 .6405E-19
.2815E+03 .2412E+00 .1742E-17 .2370E-16 .2493E-16 .1231E-17 .1742E-17 .2035E-16 .2209E-16 .1742E-17 .2370E-16 .8334E-18
.2820E+03 .2918E+00 .1219E-16 .1176E-15 .1262E-15 .8619E-17 .1219E-16 .1010E-15 .1131E-15 .1219E-16 .1176E-15 .4225E-17
.2825E+03 .3144E+00 .4278E-16 .3300E-15 .3602E-15 .3025E-16 .4278E-16 .2834E-15 .3262E-15 .4278E-16 .3300E-15 .1208E-16
.2830E+03 .3431E+00 .1707E-15 .1040E-14 .1161E-14 .1207E-15 .1707E-15 .8938E-15 .1064E-14 .1707E-15 .1040E-14 .3901E-16
.2835E+03 .3225E+00 .3052E-15 .1649E-14 .1865E-14 .2158E-15 .3052E-15 .1417E-14 .1722E-14 .3052E-15 .1649E-14 .6277E-16
.2840E+03 .3213E+00 .5633E-14 .2685E-13 .3083E-13 .3983E-14 .5633E-14 .2307E-13 .2870E-13 .5633E-14 .2685E-13 .1040E-14
.2845E+03 .2516E+00 .1746E-13 .6974E-13 .8209E-13 .1234E-13 .1746E-13 .5994E-13 .7739E-13 .1746E-13 .6974E-13 .2772E-14
.2850E+03 .1186E+00 .3554E-13 .1179E-12 .1430E-12 .2513E-13 .3554E-13 .1014E-12 .1369E-12 .3554E-13 .1179E-12 .4835E-14
.2855E+03 .1378E+00 .2300E-12 .6158E-12 .7785E-12 .1627E-12 .2300E-12 .5295E-12 .7595E-12 .2300E-12 .6158E-12 .2632E-13
.2860E+03 .3008E+00 .1022E-11 .2486E-11 .3209E-11 .7230E-12 .1022E-11 .2138E-11 .3160E-11 .1022E-11 .2486E-11 .1087E-12
.2865E+03 .3583E+00 .5066E-11 .1028E-10 .1387E-10 .3582E-11 .5066E-11 .8847E-11 .1391E-10 .5066E-11 .1028E-10 .4697E-12
.2870E+03 .3780E+00 .1543E-10 .2732E-10 .3823E-10 .1091E-10 .1543E-10 .2351E-10 .3894E-10 .1543E-10 .2732E-10 .1296E-11
.2875E+03 .3784E+00 .6113E-10 .7152E-10 .1147E-09 .4322E-10 .6113E-10 .6162E-10 .1227E-09 .6113E-10 .7152E-10 .3873E-11
.2880E+03 .2506E+00 .2303E-09 .2527E-09 .4155E-09 .1628E-09 .2303E-09 .2178E-09 .4481E-09 .2303E-09 .2527E-09 .1405E-10
.2885E+03 .3590E+00 .8435E-09 .8941E-09 .1491E-08 .5964E-09 .8435E-09 .7706E-09 .1614E-08 .8435E-09 .8941E-09 .5050E-10
.2890E+03 .4204E+00 .2565E-08 .2641E-08 .4455E-08 .1814E-08 .2565E-08 .2276E-08 .4842E-08 .2565E-08 .2641E-08 .1513E-09
.2895E+03 .4914E+00 .8617E-08 .8676E-08 .1477E-07 .6093E-08 .8617E-08 .7480E-08 .1610E-07 .8617E-08 .8676E-08 .5027E-09
.2900E+03 .6181E+00 .2555E-07 .2537E-07 .4344E-07 .1806E-07 .2555E-07 .2188E-07 .4742E-07 .2555E-07 .2537E-07 .1482E-08
.2905E+03 .6463E+00 .5517E-07 .5434E-07 .9335E-07 .3901E-07 .5517E-07 .4686E-07 .1020E-06 .5517E-07 .5434E-07 .3194E-08
.2910E+03 .6101E+00 .1240E-06 .1092E-06 .1969E-06 .8769E-07 .1240E-06 .9420E-07 .2182E-06 .1240E-06 .1092E-06 .6740E-08
.2915E+03 .6024E+00 .3658E-06 .3273E-06 .5859E-06 .2587E-06 .3658E-06 .2823E-06 .6481E-06 .3658E-06 .3273E-06 .2012E-07
.2920E+03 .5732E+00 .8518E-06 .7820E-06 .1384E-05 .6023E-06 .8518E-06 .6745E-06 .1526E-05 .8518E-06 .7820E-06 .4770E-07
.2925E+03 .4968E+00 .1232E-05 .1150E-05 .2021E-05 .8710E-06 .1232E-05 .9916E-06 .2223E-05 .1232E-05 .1150E-05 .6984E-07
.2930E+03 .5676E+00 .2684E-05 .2594E-05 .4492E-05 .1898E-05 .2684E-05 .2237E-05 .4921E-05 .2684E-05 .2594E-05 .1558E-06
.2935E+03 .5764E+00 .6563E-05 .6846E-05 .1149E-04 .4640E-05 .6563E-05 .5903E-05 .1247E-04 .6563E-05 .6846E-05 .4001E-06
.2940E+03 .5042E+00 .1050E-04 .1173E-04 .1915E-04 .7423E-05 .1050E-04 .1011E-04 .2060E-04 .1050E-04 .1173E-04 .6696E-06
.2945E+03 .5438E+00 .1781E-04 .1452E-04 .2711E-04 .1259E-04 .1781E-04 .1253E-04 .3034E-04 .1781E-04 .1452E-04 .9448E-06
