1,0.23,0.11,1.07
3,0.23,0.11,1.07
5,0.23,0.11,1.07
7,0.22,0.11,1.05
9,0.22,0.11,1.05
11,0.22,0.11,1.05
13,0.22,0.10,1.10
15,0.22,0.10,1.07
17,0.22,0.10,1.10
19,0.22,0.11,1.02
21,0.22,0.10,1.07
23,0.22,0.10,1.05
25,0.22,0.11,1.00
27,0.22,0.11,1.00
29,0.22,0.10,1.12
31,0.22,0.10,1.10
33,0.21,0.10,1.02
35,0.21,0.10,1.02
37,0.21,0.10,1.02
39,0.21,0.10,1.02
41,0.21,0.10,1.00
43,0.21,0.10,1.08
45,0.21,0.10,1.08
47,0.21,0.10,1.05
49,0.21,0.10,1.05
51,0.21,0.10,1.05
53,0.20,0.10,1.03
55,0.20,0.09,1.08
57,0.20,0.10,1.03
59,0.20,0.09,1.08
61,0.20,0.09,1.08
64,0.20,0.09,1.08
66,0.20,0.09,1.05
68,0.20,0.09,1.05
70,0.20,0.09,1.11
72,0.20,0.09,1.05
74,0.19,0.09,1.03
76,0.19,0.09,1.08
78,0.19,0.09,1.00
80,0.19,0.09,1.00
82,0.19,0.09,1.08
84,0.18,0.09,1.03
86,0.19,0.09,1.06
88,0.18,0.09,1.03
90,0.18,0.09,1.03
92,0.18,0.08,1.09
94,0.18,0.09,1.03
96,0.18,0.09,1.00
98,0.18,0.08,1.06
100,0.17,0.09,0.97
102,0.18,0.08,1.06
104,0.17,0.08,1.03
106,0.17,0.08,1.03
108,0.17,0.08,1.03
110,0.17,0.08,1.03
112,0.17,0.08,1.00
114,0.17,0.08,1.09
116,0.17,0.08,1.06
118,0.17,0.08,1.06
120,0.17,0.08,1.06
122,0.16,0.08,1.03
124,0.16,0.08,1.03
126,0.16,0.08,1.03
129,0.16,0.08,1.03
131,0.16,0.08,1.03
133,0.16,0.07,1.07
135,0.16,0.07,1.07
137,0.15,0.08,0.97
139,0.16,0.07,1.07
141,0.15,0.07,1.03
143,0.15,0.07,1.03
145,0.15,0.07,1.00
147,0.15,0.07,1.03
149,0.15,0.07,1.00
151,0.15,0.07,1.00
153,0.15,0.07,1.00
155,0.15,0.07,1.00
157,0.15,0.07,1.07
159,0.14,0.07,1.04
161,0.14,0.07,1.04
163,0.14,0.07,1.04
165,0.14,0.07,1.00
167,0.14,0.07,1.00
169,0.14,0.06,1.08
171,0.14,0.07,1.00
173,0.14,0.06,1.08
175,0.14,0.07,1.00
177,0.14,0.06,1.08
179,0.14,0.06,1.08
181,0.13,0.06,1.04
183,0.13,0.06,1.04
185,0.13,0.06,1.04
187,0.13,0.06,1.04
189,0.13,0.06,1.00
191,0.13,0.06,1.00
193,0.13,0.06,1.00
196,0.12,0.06,1.04
198,0.13,0.06,1.08
200,0.13,0.06,1.08
202,0.12,0.06,1.04
204,0.12,0.06,0.96
206,0.12,0.06,1.04
208,0.12,0.06,0.96
210,0.12,0.06,1.04
212,0.12,0.06,1.04
214,0.12,0.06,1.00
216,0.12,0.06,1.00
218,0.12,0.06,1.00
220,0.12,0.06,1.00
222,0.11,0.06,0.96
224,0.11,0.05,1.05
226,0.12,0.05,1.09
228,0.11,0.05,1.05
230,0.11,0.05,1.05
232,0.11,0.05,1.05
234,0.11,0.05,1.05
236,0.11,0.05,1.05
238,0.11,0.05,1.00
240,0.11,0.05,1.05
242,0.11,0.05,1.10
244,0.11,0.05,1.10
246,0.11,0.05,1.00
248,0.10,0.05,0.95
250,0.11,0.05,1.00
252,0.10,0.05,0.95
254,0.10,0.05,0.95
256,0.11,0.05,1.10
258,0.10,0.05,1.05
261,0.10,0.05,1.05
263,0.10,0.05,1.05
265,0.10,0.05,1.05
267,0.10,0.05,1.05
269,0.10,0.05,1.00
271,0.10,0.05,1.00
273,0.10,0.05,1.00
275,0.10,0.05,1.00
277,0.10,0.05,1.00
279,0.10,0.05,1.00
281,0.10,0.04,1.11
283,0.09,0.04,1.06
285,0.10,0.05,1.00
287,0.10,0.05,1.00
289,0.09,0.05,0.95
291,0.09,0.04,1.06
293,0.09,0.04,1.00
295,0.10,0.04,1.11
297,0.09,0.04,1.06
299,0.09,0.04,1.06
301,0.09,0.04,1.00
303,0.09,0.04,1.06
305,0.09,0.04,1.06
307,0.09,0.04,1.00
309,0.09,0.04,1.00
311,0.09,0.04,1.00
313,0.09,0.04,1.00
315,0.09,0.04,1.00
317,0.09,0.04,1.00
319,0.08,0.04,0.94
321,0.09,0.04,1.00
323,0.08,0.04,0.94
325,0.09,0.04,1.00
328,0.09,0.04,1.00
330,0.08,0.04,0.94
332,0.08,0.04,1.06
334,0.09,0.04,1.00
336,0.09,0.04,1.12
338,0.08,0.04,1.00
340,0.08,0.04,0.94
342,0.08,0.04,1.06
344,0.08,0.04,0.94
