Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2800E+03 .7851E-01 .1394E-25 .3124E-17 .3124E-17 .7997E-26 .1394E-25 .2480E-17 .2480E-17 .1394E-25 .3124E-17 .1039E-18
.2805E+03 .1024E+00 .6538E-24 .3202E-18 .3202E-18 .3750E-24 .6538E-24 .2542E-18 .2542E-18 .6538E-24 .3202E-18 .1068E-19
.2810E+03 .1717E+00 .4388E-23 .1090E-17 .1090E-17 .2517E-23 .4388E-23 .8653E-18 .8653E-18 .4388E-23 .1090E-17 .3647E-19
.2815E+03 .2412E+00 .1964E-21 .1233E-16 .1233E-16 .1126E-21 .1964E-21 .9794E-17 .9794E-17 .1964E-21 .1233E-16 .4140E-18
.2820E+03 .2918E+00 .2059E-20 .6044E-16 .6044E-16 .1181E-20 .2059E-20 .4799E-16 .4799E-16 .2059E-20 .6044E-16 .2035E-17
.2825E+03 .3144E+00 .9482E-20 .1700E-15 .1700E-15 .5439E-20 .9482E-20 .1350E-15 .1350E-15 .9482E-20 .1700E-15 .5741E-17
.2830E+03 .3431E+00 .5100E-19 .5419E-15 .5419E-15 .2925E-19 .5100E-19 .4303E-15 .4303E-15 .5100E-19 .5419E-15 .1835E-16
.2835E+03 .3225E+00 .1057E-18 .8625E-15 .8626E-15 .6064E-19 .1057E-18 .6849E-15 .6850E-15 .1057E-18 .8625E-15 .2930E-16
.2840E+03 .3213E+00 .3822E-17 .9449E-14 .9452E-14 .2192E-17 .3822E-17 .7504E-14 .7508E-14 .3822E-17 .9449E-14 .3220E-15
.2845E+03 .2516E+00 .1626E-16 .2179E-13 .2180E-13 .9325E-17 .1626E-16 .1730E-13 .1732E-13 .1626E-16 .2179E-13 .7448E-15
.2850E+03 .1186E+00 .4636E-16 .3354E-13 .3357E-13 .2659E-16 .4636E-16 .2664E-13 .2668E-13 .4636E-16 .3354E-13 .1150E-14
.2855E+03 .1378E+00 .4456E-15 .1618E-12 .1621E-12 .2556E-15 .4456E-15 .1285E-12 .1289E-12 .4456E-15 .1618E-12 .5570E-14
.2860E+03 .3008E+00 .2333E-14 .6343E-12 .6356E-12 .1338E-14 .2333E-14 .5037E-12 .5061E-12 .2333E-14 .6343E-12 .2191E-13
