Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2800E+03 .7851E-01 .2069E-19 .5796E-19 .7381E-19 .1585E-19 .2069E-19 .5146E-19 .7215E-19 .2069E-19 .5796E-19 .2393E-20
.2805E+03 .1024E+00 .3972E-18 .7797E-18 .1084E-17 .3043E-18 .3972E-18 .6926E-18 .1090E-17 .3972E-18 .7797E-18 .3496E-19
.2810E+03 .1717E+00 .1887E-17 .3190E-17 .4636E-17 .1445E-17 .1887E-17 .2835E-17 .4721E-17 .1887E-17 .3190E-17 .1494E-18
.2815E+03 .2412E+00 .3563E-16 .4424E-16 .7153E-16 .2729E-16 .3563E-16 .3933E-16 .7496E-16 .3563E-16 .4424E-16 .2292E-17
.2820E+03 .2918E+00 .2180E-15 .2228E-15 .3898E-15 .1670E-15 .2180E-15 .1982E-15 .4162E-15 .2180E-15 .2228E-15 .1246E-16
.2825E+03 .3144E+00 .6991E-15 .6220E-15 .1157E-14 .5355E-15 .6991E-15 .5536E-15 .1253E-14 .6991E-15 .6220E-15 .3695E-16
.2830E+03 .3431E+00 .2526E-14 .1941E-14 .3876E-14 .1935E-14 .2526E-14 .1728E-14 .4254E-14 .2526E-14 .1941E-14 .1235E-15
.2835E+03 .3225E+00 .4300E-14 .3021E-14 .6315E-14 .3294E-14 .4300E-14 .2691E-14 .6991E-14 .4300E-14 .3021E-14 .2013E-15
.2840E+03 .3213E+00 .6349E-13 .7122E-13 .1199E-12 .4864E-13 .6349E-13 .6335E-13 .1268E-12 .6349E-13 .7122E-13 .3887E-14
.2845E+03 .2516E+00 .1771E-12 .1854E-12 .3210E-12 .1357E-12 .1771E-12 .1649E-12 .3420E-12 .1771E-12 .1854E-12 .1042E-13
.2850E+03 .1186E+00 .3224E-12 .3144E-12 .5614E-12 .2470E-12 .3224E-12 .2798E-12 .6022E-12 .3224E-12 .3144E-12 .1824E-13
.2855E+03 .1378E+00 .1830E-11 .1654E-11 .3056E-11 .1402E-11 .1830E-11 .1472E-11 .3302E-11 .1830E-11 .1654E-11 .9933E-13
.2860E+03 .3008E+00 .7704E-11 .6605E-11 .1251E-10 .5902E-11 .7704E-11 .5880E-11 .1358E-10 .7704E-11 .6605E-11 .4070E-12
.2865E+03 .3583E+00 .3423E-10 .2738E-10 .5360E-10 .2622E-10 .3423E-10 .2438E-10 .5861E-10 .3423E-10 .2738E-10 .1746E-11
.2870E+03 .3780E+00 .9617E-10 .7236E-10 .1460E-09 .7367E-10 .9617E-10 .6446E-10 .1606E-09 .9617E-10 .7236E-10 .4760E-11
.2875E+03 .3784E+00 .3429E-09 .1864E-09 .4490E-09 .2626E-09 .3429E-09 .1663E-09 .5091E-09 .3429E-09 .1864E-09 .1453E-10
.2880E+03 .2506E+00 .1131E-08 .6281E-09 .1494E-08 .8663E-09 .1131E-08 .5603E-09 .1691E-08 .1131E-08 .6281E-09 .4853E-10
.2885E+03 .3590E+00 .3855E-08 .2144E-08 .5098E-08 .2953E-08 .3855E-08 .1913E-08 .5768E-08 .3855E-08 .2144E-08 .1660E-09
.2890E+03 .4204E+00 .1090E-07 .6120E-08 .1447E-07 .8350E-08 .1090E-07 .5460E-08 .1636E-07 .1090E-07 .6120E-08 .4728E-09
.2895E+03 .4914E+00 .3377E-07 .1947E-07 .4535E-07 .2587E-07 .3377E-07 .1737E-07 .5114E-07 .3377E-07 .1947E-07 .1487E-08
.2900E+03 .6181E+00 .9378E-07 .5536E-07 .1272E-06 .7184E-07 .9378E-07 .4938E-07 .1432E-06 .9378E-07 .5536E-07 .4186E-08
.2905E+03 .6463E+00 .1916E-06 .1155E-06 .2623E-06 .1468E-06 .1916E-06 .1030E-06 .2946E-06 .1916E-06 .1155E-06 .8661E-08
.2910E+03 .6101E+00 .4030E-06 .2088E-06 .5176E-06 .3087E-06 .4030E-06 .1864E-06 .5894E-06 .4030E-06 .2088E-06 .1706E-07
.2915E+03 .6024E+00 .1093E-05 .5819E-06 .1420E-05 .8376E-06 .1093E-05 .5194E-06 .1613E-05 .1093E-05 .5819E-06 .4696E-07
.2920E+03 .5732E+00 .2378E-05 .1297E-05 .3118E-05 .1821E-05 .2378E-05 .1157E-05 .3535E-05 .2378E-05 .1297E-05 .1035E-06
.2925E+03 .4968E+00 .3306E-05 .1800E-05 .4333E-05 .2533E-05 .3306E-05 .1607E-05 .4913E-05 .3306E-05 .1800E-05 .1442E-06
