Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2800E+03 .7851E-01 .3652E-29 .1101E-17 .1101E-17 .1826E-29 .3652E-29 .8346E-18 .8346E-18 .3652E-29 .1101E-17 .3661E-19
.2805E+03 .1024E+00 .2875E-27 .2275E-18 .2275E-18 .1438E-27 .2875E-27 .1725E-18 .1725E-18 .2875E-27 .2275E-18 .7590E-20
.2810E+03 .1717E+00 .2358E-26 .7698E-18 .7698E-18 .1179E-26 .2358E-26 .5838E-18 .5838E-18 .2358E-26 .7698E-18 .2576E-19
.2815E+03 .2412E+00 .1741E-24 .8841E-17 .8841E-17 .8707E-25 .1741E-24 .6705E-17 .6705E-17 .1741E-24 .8841E-17 .2967E-18
.2820E+03 .2918E+00 .2495E-23 .4394E-16 .4394E-16 .1248E-23 .2495E-23 .3333E-16 .3333E-16 .2495E-23 .4394E-16 .1479E-17
.2825E+03 .3144E+00 .1418E-22 .1248E-15 .1248E-15 .7089E-23 .1418E-22 .9467E-16 .9467E-16 .1418E-22 .1248E-15 .4214E-17
.2830E+03 .3431E+00 .9606E-22 .4024E-15 .4024E-15 .4803E-22 .9606E-22 .3052E-15 .3052E-15 .9606E-22 .4024E-15 .1363E-16
.2835E+03 .3225E+00 .2233E-21 .6433E-15 .6433E-15 .1116E-21 .2233E-21 .4879E-15 .4879E-15 .2233E-21 .6433E-15 .2185E-16
.2840E+03 .3213E+00 .1357E-19 .7897E-14 .7897E-14 .6784E-20 .1357E-19 .5990E-14 .5990E-14 .1357E-19 .7897E-14 .2690E-15
.2845E+03 .2516E+00 .7373E-19 .1741E-13 .1741E-13 .3687E-19 .7373E-19 .1321E-13 .1321E-13 .7373E-19 .1741E-13 .5950E-15
.2850E+03 .1186E+00 .2728E-18 .2611E-13 .2611E-13 .1364E-18 .2728E-18 .1981E-13 .1981E-13 .2728E-18 .2611E-13 .8949E-15
.2855E+03 .1378E+00 .3560E-17 .1241E-12 .1241E-12 .1780E-17 .3560E-17 .9415E-13 .9415E-13 .3560E-17 .1241E-12 .4265E-14
.2860E+03 .3008E+00 .2115E-16 .4840E-12 .4840E-12 .1057E-16 .2115E-16 .3672E-12 .3672E-12 .2115E-16 .4840E-12 .1668E-13
.2865E+03 .3583E+00 .1875E-15 .1912E-11 .1913E-11 .9375E-16 .1875E-15 .1451E-11 .1451E-11 .1875E-15 .1912E-11 .6611E-13
.2870E+03 .3780E+00 .8807E-15 .4945E-11 .4945E-11 .4403E-15 .8807E-15 .3752E-11 .3753E-11 .8807E-15 .4945E-11 .1714E-12
.2875E+03 .3784E+00 .6115E-14 .1104E-10 .1105E-10 .3058E-14 .6115E-14 .8380E-11 .8386E-11 .6115E-14 .1104E-10 .3841E-12
.2880E+03 .2506E+00 .4684E-13 .3085E-10 .3088E-10 .2342E-13 .4684E-13 .2341E-10 .2346E-10 .4684E-13 .3085E-10 .1077E-11
.2885E+03 .3590E+00 .2517E-12 .9637E-10 .9650E-10 .1258E-12 .2517E-12 .7313E-10 .7338E-10 .2517E-12 .9637E-10 .3375E-11
.2890E+03 .4204E+00 .1130E-11 .2512E-09 .2517E-09 .5651E-12 .1130E-11 .1906E-09 .1917E-09 .1130E-11 .2512E-09 .8829E-11
.2895E+03 .4914E+00 .5841E-11 .7194E-09 .7223E-09 .2921E-11 .5841E-11 .5459E-09 .5518E-09 .5841E-11 .7194E-09 .2541E-10
.2900E+03 .6181E+00 .2458E-10 .1874E-08 .1886E-08 .1229E-10 .2458E-10 .1422E-08 .1447E-08 .2458E-10 .1874E-08 .6655E-10
.2905E+03 .6463E+00 .7136E-10 .3620E-08 .3656E-08 .3568E-10 .7136E-10 .2748E-08 .2819E-08 .7136E-10 .3620E-08 .1294E-09
.2910E+03 .6101E+00 .2286E-09 .6604E-08 .6718E-08 .1143E-09 .2286E-09 .5013E-08 .5242E-08 .2286E-09 .6604E-08 .2387E-09
.2915E+03 .6024E+00 .1054E-08 .1908E-07 .1961E-07 .5271E-09 .1054E-08 .1449E-07 .1554E-07 .1054E-08 .1908E-07 .6993E-09
.2920E+03 .5732E+00 .3537E-08 .4358E-07 .4534E-07 .1768E-08 .3537E-08 .3309E-07 .3663E-07 .3537E-08 .4358E-07 .1623E-08
.2925E+03 .4968E+00 .6303E-08 .6167E-07 .6482E-07 .3152E-08 .6303E-08 .4684E-07 .5314E-07 .6303E-08 .6167E-07 .2330E-08
.2930E+03 .5676E+00 .1788E-07 .1319E-06 .1408E-06 .8939E-08 .1788E-07 .1002E-06 .1181E-06 .1788E-07 .1319E-06 .5082E-08
.2935E+03 .5764E+00 .6257E-07 .3180E-06 .3493E-06 .3129E-07 .6257E-07 .2417E-06 .3043E-06 .6257E-07 .3180E-06 .1268E-07
.2940E+03 .5042E+00 .1281E-06 .5004E-06 .5645E-06 .6403E-07 .1281E-06 .3805E-06 .5086E-06 .1281E-06 .5004E-06 .2059E-07
.2945E+03 .5438E+00 .2614E-06 .7320E-06 .8627E-06 .1307E-06 .2614E-06 .5570E-06 .8184E-06 .2614E-06 .7320E-06 .3168E-07
.2950E+03 .5163E+00 .5496E-06 .1286E-05 .1561E-05 .2748E-06 .5496E-06 .9789E-06 .1528E-05 .5496E-06 .1286E-05 .5760E-07
.2955E+03 .5825E+00 .1652E-05 .3180E-05 .4006E-05 .8259E-06 .1652E-05 .2422E-05 .4074E-05 .1652E-05 .3180E-05 .1487E-06
.2960E+03 .6214E+00 .3488E-05 .5907E-05 .7651E-05 .1744E-05 .3488E-05 .4503E-05 .7990E-05 .3488E-05 .5907E-05 .2854E-06
.2965E+03 .4929E+00 .5275E-05 .8000E-05 .1064E-04 .2637E-05 .5275E-05 .6101E-05 .1138E-04 .5275E-05 .8000E-05 .3987E-06
.2970E+03 .4244E+00 .7556E-05 .1057E-04 .1435E-04 .3778E-05 .7556E-05 .8065E-05 .1562E-04 .7556E-05 .1057E-04 .5402E-06
.2975E+03 .5980E+00 .2168E-04 .2770E-04 .3854E-04 .1084E-04 .2168E-04 .2114E-04 .4282E-04 .2168E-04 .2770E-04 .1457E-05
.2980E+03 .5581E+00 .3603E-04 .4350E-04 .6152E-04 .1802E-04 .3603E-04 .3322E-04 .6925E-04 .3603E-04 .4350E-04 .2335E-05
.2985E+03 .3790E+00 .3765E-04 .4404E-04 .6287E-04 .1883E-04 .3765E-04 .3364E-04 .7129E-04 .3765E-04 .4404E-04 .2395E-05
.2990E+03 .5771E+00 .8556E-04 .9845E-04 .1412E-03 .4278E-04 .8556E-04 .7520E-04 .1608E-03 .8556E-04 .9845E-04 .5395E-05
.2995E+03 .5217E+00 .1450E-03 .1703E-03 .2428E-03 .7252E-04 .1450E-03 .1301E-03 .2751E-03 .1450E-03 .1703E-03 .9296E-05
.3000E+03 .4169E+00 .1677E-03 .2041E-03 .2880E-03 .8383E-04 .1677E-03 .1559E-03 .3235E-03 .1677E-03 .2041E-03 .1105E-04
.3005E+03 .4394E+00 .2441E-03 .3142E-03 .4362E-03 .1220E-03 .2441E-03 .2399E-03 .4840E-03 .2441E-03 .3142E-03 .1698E-04
.3010E+03 .4942E+00 .4384E-03 .6346E-03 .8538E-03 .2192E-03 .4384E-03 .4845E-03 .9229E-03 .4384E-03 .6346E-03 .3368E-04
.3015E+03 .5298E+00 .6898E-03 .9104E-03 .1255E-02 .3449E-03 .6898E-03 .6955E-03 .1385E-02 .6898E-03 .9104E-03 .5036E-04
.3020E+03 .3745E+00 .5894E-03 .7397E-03 .1034E-02 .2947E-03 .5894E-03 .5655E-03 .1155E-02 .5894E-03 .7397E-03 .4217E-04
.3025E+03 .5441E+00 .1188E-02 .1379E-02 .1973E-02 .5939E-03 .1188E-02 .1054E-02 .2242E-02 .1188E-02 .1379E-02 .8071E-04
.3030E+03 .6771E+00 .2202E-02 .2476E-02 .3577E-02 .1101E-02 .2202E-02 .1894E-02 .4096E-02 .2202E-02 .2476E-02 .1467E-03
.3035E+03 .6891E+00 .2823E-02 .3144E-02 .4555E-02 .1411E-02 .2823E-02 .2405E-02 .5228E-02 .2823E-02 .3144E-02 .1873E-03
.3040E+03 .5775E+00 .2659E-02 .2932E-02 .4262E-02 .1329E-02 .2659E-02 .2244E-02 .4903E-02 .2659E-02 .2932E-02 .1756E-03
