=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.29 20:18:38 =~=~=~=~=~=~=~=~=~=~=~=
meanV1, meanV2, meanRatio, stdV1, stdV2, stdRatio, Elevation
1037,0.260,0.146,0.880,0.002,0.002,0.017,1.84
1047,0.257,0.145,0.875,0.001,0.001,0.007,1.81
1057,0.255,0.144,0.875,0.002,0.002,0.017,1.79
1067,0.251,0.142,0.875,0.003,0.002,0.016,1.77
1077,0.248,0.140,0.873,0.002,0.000,0.009,1.75
1087,0.246,0.140,0.870,0.002,0.002,0.013,1.72
1097,0.243,0.139,0.868,0.002,0.002,0.018,1.70
1107,0.241,0.137,0.875,0.002,0.002,0.021,1.68
1117,0.238,0.136,0.869,0.002,0.001,0.008,1.66
1127,0.236,0.135,0.866,0.002,0.002,0.014,1.63
1138,0.233,0.133,0.867,0.002,0.002,0.018,1.61
1148,0.230,0.131,0.869,0.002,0.002,0.016,1.59
1158,0.228,0.131,0.864,0.002,0.001,0.009,1.56
1168,0.228,0.131,0.863,0.003,0.002,0.011,1.54
1178,0.234,0.135,0.859,0.009,0.006,0.015,1.52
1188,0.233,0.135,0.858,0.003,0.002,0.015,1.50
1198,0.231,0.134,0.854,0.002,0.002,0.015,1.48
1208,0.228,0.131,0.860,0.002,0.002,0.017,1.45
1218,0.227,0.131,0.861,0.002,0.001,0.012,1.43
1228,0.227,0.132,0.853,0.005,0.004,0.013,1.41
1238,0.227,0.131,0.860,0.002,0.001,0.017,1.39
1248,0.224,0.129,0.857,0.002,0.002,0.016,1.37
1258,0.214,0.124,0.853,0.009,0.005,0.018,1.34
1268,0.214,0.125,0.847,0.003,0.003,0.014,1.32
1278,0.212,0.123,0.853,0.002,0.002,0.023,1.30
1288,0.209,0.122,0.849,0.002,0.002,0.015,1.28
1299,0.207,0.121,0.848,0.003,0.001,0.015,1.26
1309,0.204,0.120,0.842,0.002,0.002,0.017,1.23
1319,0.203,0.118,0.849,0.002,0.002,0.023,1.21
1329,0.201,0.117,0.848,0.002,0.002,0.020,1.19
1339,0.199,0.116,0.846,0.001,0.001,0.010,1.17
1349,0.197,0.115,0.844,0.002,0.002,0.016,1.15
1359,0.195,0.114,0.842,0.002,0.002,0.021,1.12
1369,0.192,0.112,0.847,0.002,0.002,0.022,1.10
1379,0.189,0.112,0.839,0.002,0.001,0.010,1.08
1389,0.188,0.111,0.839,0.002,0.001,0.013,1.06
1399,0.185,0.110,0.835,0.002,0.002,0.019,1.04
1409,0.182,0.108,0.839,0.003,0.002,0.020,1.02
1419,0.180,0.107,0.835,0.002,0.000,0.010,1.00
1429,0.179,0.106,0.832,0.002,0.001,0.012,0.97
1439,0.176,0.105,0.825,0.003,0.002,0.017,0.95
1449,0.174,0.104,0.827,0.001,0.002,0.024,0.93
1459,0.173,0.102,0.835,0.002,0.002,0.023,0.91
1470,0.170,0.102,0.824,0.002,0.002,0.016,0.89
1480,0.169,0.101,0.827,0.001,0.001,0.015,0.87
1490,0.168,0.101,0.821,0.002,0.002,0.017,0.84
1500,0.165,0.100,0.815,0.002,0.002,0.019,0.82
1510,0.164,0.098,0.823,0.002,0.002,0.027,0.80
1520,0.162,0.098,0.819,0.002,0.002,0.021,0.78
1530,0.160,0.097,0.817,0.001,0.001,0.009,0.76
1540,0.158,0.096,0.817,0.002,0.002,0.020,0.74
1550,0.156,0.095,0.813,0.002,0.002,0.024,0.72
1560,0.155,0.094,0.820,0.001,0.002,0.025,0.70
1570,0.153,0.092,0.821,0.002,0.001,0.020,0.68
1580,0.150,0.092,0.808,0.002,0.001,0.011,0.66
1590,0.150,0.092,0.808,0.001,0.001,0.009,0.64
1600,0.150,0.092,0.809,0.002,0.001,0.018,0.61
1610,0.148,0.090,0.811,0.002,0.002,0.027,0.59
1620,0.146,0.089,0.810,0.003,0.002,0.025,0.57
1631,0.144,0.088,0.814,0.004,0.002,0.023,0.55
1641,0.142,0.087,0.808,0.002,0.001,0.014,0.53
1651,0.140,0.087,0.798,0.002,0.001,0.013,0.51
1661,0.139,0.086,0.799,0.004,0.002,0.024,0.49
1671,0.137,0.085,0.793,0.004,0.002,0.026,0.47
1681,0.136,0.085,0.791,0.002,0.002,0.023,0.45
1691,0.136,0.085,0.793,0.002,0.002,0.024,0.43
1701,0.135,0.085,0.790,0.002,0.003,0.026,0.41
1711,0.133,0.084,0.789,0.003,0.002,0.023,0.39
1721,0.131,0.082,0.790,0.002,0.001,0.015,0.37
1731,0.130,0.082,0.783,0.002,0.001,0.013,0.35
1741,0.127,0.081,0.774,0.003,0.002,0.022,0.33
1751,0.126,0.080,0.780,0.002,0.002,0.028,0.31
1761,0.125,0.079,0.786,0.002,0.002,0.027,0.29
1771,0.123,0.078,0.781,0.003,0.001,0.021,0.27
1781,0.121,0.078,0.773,0.001,0.001,0.013,0.25
1792,0.121,0.077,0.774,0.001,0.001,0.011,0.23
1802,0.120,0.077,0.772,0.002,0.001,0.018,0.21
1812,0.117,0.076,0.765,0.003,0.002,0.025,0.18
1822,0.116,0.074,0.779,0.001,0.003,0.032,0.16
1832,0.115,0.073,0.779,0.002,0.001,0.020,0.14
1842,0.112,0.073,0.763,0.002,0.000,0.013,0.12
1852,0.111,0.073,0.759,0.002,0.001,0.011,0.10
1862,0.109,0.072,0.751,0.003,0.002,0.018,0.08
1872,0.106,0.069,0.762,0.002,0.003,0.031,0.06
1882,0.105,0.069,0.760,0.002,0.002,0.025,0.04
1892,0.103,0.068,0.748,0.003,0.002,0.024,0.02
1902,0.102,0.068,0.743,0.000,0.000,0.002,0.00
1912,0.102,0.068,0.744,0.001,0.001,0.012,-0.03
1922,0.101,0.067,0.741,0.002,0.001,0.021,-0.08
1932,0.099,0.067,0.730,0.004,0.002,0.025,-0.12
1942,0.098,0.067,0.727,0.002,0.002,0.027,-0.16
1952,0.097,0.065,0.736,0.001,0.003,0.033,-0.21
1963,0.096,0.064,0.745,0.002,0.002,0.030,-0.25
1973,0.094,0.063,0.740,0.003,0.000,0.019,-0.29
1983,0.092,0.063,0.724,0.001,0.001,0.011,-0.33
1993,0.092,0.063,0.725,0.001,0.001,0.011,-0.36
2003,0.091,0.063,0.722,0.002,0.001,0.013,-0.40
2013,0.090,0.062,0.718,0.002,0.002,0.023,-0.43
2023,0.088,0.061,0.713,0.002,0.002,0.031,-0.47
2033,0.088,0.061,0.709,0.002,0.002,0.032,-0.50
2043,0.087,0.060,0.712,0.002,0.002,0.030,-0.54
2053,0.085,0.059,0.715,0.004,0.002,0.036,-0.57
2063,0.084,0.059,0.713,0.005,0.002,0.029,-0.60
2073,0.083,0.058,0.704,0.002,0.001,0.015,-0.63
2083,0.082,0.058,0.702,0.001,0.001,0.011,-0.67
2093,0.082,0.058,0.703,0.002,0.001,0.022,-0.70
2103,0.080,0.057,0.695,0.003,0.002,0.033,-0.73
2113,0.078,0.056,0.689,0.002,0.002,0.033,-0.76
2124,0.077,0.055,0.697,0.001,0.002,0.033,-0.79
2134,0.077,0.054,0.701,0.002,0.002,0.029,-0.82
2144,0.074,0.053,0.687,0.003,0.001,0.025,-0.85
2154,0.073,0.053,0.676,0.001,0.000,0.009,-0.88
2164,0.073,0.053,0.675,0.001,0.001,0.007,-0.91
2174,0.072,0.053,0.675,0.001,0.001,0.011,-0.94
2184,0.071,0.053,0.667,0.003,0.002,0.032,-0.97
2194,0.070,0.053,0.657,0.002,0.002,0.032,-1.00
2204,0.069,0.052,0.653,0.004,0.002,0.032,-1.02
2214,0.068,0.051,0.663,0.000,0.003,0.036,-1.05
2224,0.068,0.050,0.669,0.001,0.002,0.034,-1.08
2234,0.067,0.050,0.665,0.002,0.002,0.035,-1.11
2244,0.066,0.050,0.658,0.002,0.002,0.032,-1.14
2254,0.064,0.049,0.648,0.002,0.002,0.030,-1.16
2264,0.063,0.049,0.645,0.001,0.001,0.016,-1.19
2274,0.063,0.049,0.642,0.000,0.001,0.011,-1.22
2285,0.062,0.048,0.637,0.003,0.001,0.024,-1.24
2295,0.062,0.048,0.636,0.002,0.001,0.021,-1.27
2305,0.061,0.048,0.632,0.002,0.001,0.027,-1.30
2315,0.060,0.048,0.620,0.003,0.002,0.033,-1.33
2325,0.060,0.048,0.621,0.002,0.002,0.032,-1.35
2335,0.058,0.046,0.626,0.004,0.003,0.040,-1.38
2345,0.059,0.046,0.639,0.003,0.002,0.042,-1.41
2355,0.057,0.045,0.636,0.003,0.002,0.035,-1.43
2365,0.057,0.044,0.635,0.002,0.002,0.036,-1.46
2375,0.056,0.044,0.623,0.002,0.002,0.036,-1.49
2385,0.054,0.044,0.607,0.002,0.001,0.022,-1.51
2395,0.054,0.044,0.609,0.001,0.000,0.016,-1.54
2405,0.053,0.043,0.607,0.001,0.001,0.012,-1.56
2415,0.053,0.043,0.607,0.001,0.001,0.021,-1.59
2425,0.053,0.043,0.603,0.001,0.001,0.020,-1.61
2435,0.052,0.043,0.599,0.002,0.002,0.038,-1.64
2446,0.050,0.042,0.588,0.003,0.002,0.042,-1.67
2456,0.050,0.041,0.596,0.002,0.003,0.049,-1.69
2466,0.049,0.041,0.594,0.001,0.002,0.034,-1.72
2476,0.048,0.041,0.590,0.001,0.002,0.035,-1.74
2486,0.048,0.040,0.601,0.001,0.002,0.034,-1.77
2496,0.047,0.039,0.597,0.002,0.002,0.037,-1.80
2506,0.047,0.039,0.599,0.002,0.001,0.032,-1.82
2516,0.046,0.039,0.585,0.003,0.001,0.033,-1.85
2526,0.045,0.038,0.579,0.004,0.002,0.041,-1.87
2536,0.045,0.039,0.571,0.002,0.001,0.028,-1.90
2546,0.044,0.039,0.559,0.001,0.001,0.015,-1.92
2556,0.043,0.038,0.551,0.003,0.001,0.033,-1.95
2566,0.043,0.038,0.560,0.002,0.001,0.033,-1.97
2576,0.043,0.038,0.558,0.002,0.002,0.034,-2.00
2586,0.042,0.038,0.548,0.002,0.002,0.037,-2.02
2596,0.042,0.038,0.554,0.003,0.002,0.042,-2.04
2606,0.041,0.037,0.553,0.003,0.002,0.050,-2.07
2617,0.040,0.036,0.552,0.002,0.002,0.042,-2.09
2627,0.040,0.035,0.558,0.002,0.002,0.044,-2.12
2637,0.039,0.035,0.557,0.001,0.002,0.031,-2.15
2647,0.038,0.034,0.549,0.002,0.001,0.031,-2.17
2657,0.038,0.034,0.548,0.002,0.001,0.032,-2.19
2667,0.036,0.034,0.523,0.003,0.001,0.044,-2.22
2677,0.035,0.034,0.518,0.002,0.000,0.033,-2.24
