x, y
200, 0.021739035144615733
205.09554439331455, 0.02484457774560154
209.76645063818427, 0.02795035728430045
214.43737308134303, 0.03726698508725919
218.25901922761213, 0.07142830910467536
221.65604342372546, 0.11490685326933171
225.47770576828364, 0.17080744936907627
228.4501080142412, 0.22670780853110817
231.84713221035454, 0.2888196083016816
235.66879455491272, 0.357142848680796
239.4904407011818, 0.42236019105235545
244.58598509449638, 0.5062111444364005
247.9830092906097, 0.5776396904787883
251.8046716351679, 0.6583851012618472
254.77707388112546, 0.7267079862343927
258.59872002739456, 0.798136650745637
262.4203823719527, 0.8633539931171962
265.81742276635515, 0.9099378429451261
268.3651868638679, 0.9378882002294266
271.76219486169214, 0.9720496427156994
275.58385720625034, 0.9968943389301574
281.1040397480097, 0.9968943389301574
287.04884423992485, 0.981366388987514
291.2951285346388, 0.9596272353740422
295.54141282935274, 0.934782539159584
300.2123190742224, 0.897515435603469
304.88322531909216, 0.8633539931171962
308.7048876636503, 0.8167701432892663
312.52655000820846, 0.7732918360623227
315.92355800603275, 0.7298136473042353
320.16984230074667, 0.6708073901346481
325.6900248425061, 0.5962733014912741
328.66241089017456, 0.5341615017207009
333.7579714817782, 0.45652175200748424
339.27812162695943, 0.36645959495261066
343.5244059216733, 0.2888196083016816
349.4692104135885, 0.20496889185534922
357.11253510270484, 0.10869564959850332
362.2080632977303, 0.06832300344140177
366.4543475924442, 0.04347830722694391
370.70063188715824, 0.02484457774560154
376.22081442891755, 0.009316627802958301
381.316342623943, 0
392.3566753108836, 0
400, 0
